Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.924756385,3.289615599,0,2.838215448,0,0.078727431,0.078727431,0.078727431,0.201474943,0.043624016,0.122837148,0.457866847
 01/01  02:00:00,0.780654161,3.715468206,0,3.34927463,0,0.092903373,0.092903373,0.092903373,0.11752699,0.025447352,0.102975686,0.42157476
 01/01  03:00:00,0.728752631,4.064335049,0,3.721148725,0,0.103218549,0.103218549,0.103218549,0.083947881,0.018176675,0.08649659,0.416686936
 01/01  04:00:00,0.720173931,4.340083472,0,3.989285413,0,0.11065622,0.11065622,0.11065622,0.083947881,0.018176675,0.076345607,0.410821548
 01/01  05:00:00,0.724168923,4.620035988,0,4.201891129,0,0.116553553,0.116553553,0.116553553,0.083947881,0.018176675,0.089962105,0.395302709
 01/01  06:00:00,0.791468328,5.089843983,0,4.376478748,0,0.121396327,0.121396327,0.121396327,0.083947881,0.018176675,0.106595392,0.441126053
 01/01  07:00:00,1.082168009,6.306475262,0,5.043683587,0,0.139903492,0.139903492,0.139903492,0.193080106,0.041806361,0.177474276,0.509677774
 01/01  08:00:00,1.47439943,5.529636399,0,4.110940206,0,0.114030724,0.114030724,0.114030724,0.394555049,0.085430377,0.281086459,0.541570821
 01/01  09:00:00,1.394227931,4.639689265,0,3.263498341,0,0.09052408,0.09052408,0.09052408,0.377765477,0.081795044,0.366050484,0.457866847
 01/01  10:00:00,1.170135691,3.86730565,0,2.625388681,0,0.072823967,0.072823967,0.072823967,0.193080106,0.041806361,0.452517545,0.389681712
