,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.11195529184,0.0865101217052,0.0,1.11195529184,0.0865101217052,0.0778,0.0478,0.0,0.0,1.11195529184,0.0865101217052,1.38777878078e-17,389.430548802
1, 01/01  02:00:00,0.969479138855,0.0754254770029,0.0,0.969479138855,0.0754254770029,0.0778,0.0478,0.0,0.0,0.969479138855,0.0754254770029,1.38777878078e-17,389.430548802
2, 01/01  03:00:00,0.922996044985,0.0718090922998,0.0,0.922996044985,0.0718090922998,0.0778,0.0478,0.0,0.0,0.922996044985,0.0718090922998,0.0,389.430548802
3, 01/01  04:00:00,0.916054741406,0.0712690588814,0.0,0.916054741406,0.0712690588814,0.0778,0.0478,0.0,0.0,0.916054741406,0.0712690588814,0.0,389.430548802
4, 01/01  05:00:00,0.90210708352,0.0701839310979,0.0,0.90210708352,0.0701839310979,0.0778,0.0478,0.0,0.0,0.90210708352,0.0701839310979,1.38777878078e-17,389.430548802
5, 01/01  06:00:00,0.968321053701,0.0753353779779,0.0,0.968321053701,0.0753353779779,0.0778,0.0478,0.0,0.0,0.968321053701,0.0753353779779,-1.38777878078e-17,389.430548802
6, 01/01  07:00:00,1.24291560208,0.0966988338418,0.0,1.24291560208,0.0966988338418,0.0778,0.0478,0.0,0.0,1.24291560208,0.0966988338418,0.0,389.430548802
7, 01/01  08:00:00,1.64428521374,0.127925389629,0.0,1.64428521374,0.127925389629,0.0778,0.0478,0.0,0.0,1.64428521374,0.127925389629,2.77555756156e-17,389.430548802
8, 01/01  09:00:00,1.57734551559,0.0868959644539,0.320019,1.25732651559,0.0692661177439,0.05509,0.02509,0.0,0.0,1.25732651559,0.0692661177439,0.0,389.430548802
9, 01/01  10:00:00,1.31212982867,0.0722852322614,1.234958,0.07717182867,0.00425139604143,0.05509,0.02509,0.0,0.0,0.07717182867,0.00425139604143,0.0,389.430548802
10, 01/01  11:00:00,1.305975686,0.0719462005417,0.817016,0.488959686,0.0269367891017,0.05509,0.02509,0.0,0.0,0.488959686,0.0269367891017,0.0,389.430548802
11, 01/01  12:00:00,1.24357063922,0.0685083065146,2.50448,-1.26090936078,-0.031636215862,0.05509,0.02509,-1.26090936078,0.127186863172,0.0,0.0,-0.031636215862,389.430548802
12, 01/01  13:00:00,1.18597905792,0.0653355863008,2.796281,-1.61030194208,-0.0404024757268,0.05509,0.02509,-1.61030194208,0.289616661177,0.0,0.0,-0.0404024757268,389.430548802
13, 01/01  14:00:00,1.17057365394,0.0644869025956,1.634951,-0.46437734606,-0.0116512276126,0.05509,0.02509,-0.46437734606,0.336458012197,0.0,0.0,-0.0116512276126,389.430548802
14, 01/01  15:00:00,1.16244429107,0.064039055995,1.552725,-0.39028070893,-0.00979214298705,0.05509,0.02509,-0.39028070893,0.375825297959,0.0,0.0,-0.00979214298705,389.430548802
15, 01/01  16:00:00,1.25622276638,0.0692053121999,0.66142,0.59480276638,0.0327676843999,0.05509,0.02509,0.59480276638,0.315828044853,0.0,0.0,0.0327676843999,389.430548802
16, 01/01  17:00:00,1.59032452346,0.279388212281,0.227952,1.36237252346,0.239341604921,0.17568,0.14568,1.36237252346,0.178406678084,-5.55111512313e-17,-8.08686451137e-18,0.239341604921,389.430548802
17, 01/01  18:00:00,2.24397663807,0.394221815776,0.0,2.24397663807,0.394221815776,0.17568,0.14568,2.24397663807,-0.047941351763,0.0,0.0,0.394221815776,389.430548802
18, 01/01  19:00:00,2.66791647359,0.46869956608,0.0,2.66791647359,0.46869956608,0.17568,0.14568,0.0,-0.047941351763,2.66791647359,0.46869956608,-5.55111512313e-17,389.430548802
19, 01/01  20:00:00,2.65665775454,0.466721634318,0.0,2.65665775454,0.466721634318,0.17568,0.14568,0.0,-0.047941351763,2.65665775454,0.466721634318,0.0,389.430548802
20, 01/01  21:00:00,2.46990673227,0.433913214725,0.0,2.46990673227,0.433913214725,0.17568,0.14568,0.0,-0.047941351763,2.46990673227,0.433913214725,0.0,389.430548802
21, 01/01  22:00:00,2.25909476202,0.175757572485,0.0,2.25909476202,0.175757572485,0.0778,0.0478,0.0,-0.047941351763,2.25909476202,0.175757572485,2.77555756156e-17,389.430548802
22, 01/01  23:00:00,1.87098933505,0.145562970267,0.0,1.87098933505,0.145562970267,0.0778,0.0478,0.0,-0.047941351763,1.87098933505,0.145562970267,2.77555756156e-17,389.430548802
23, 01/01  24:00:00,1.47170373482,0.114498550569,0.0,1.47170373482,0.114498550569,0.0778,0.0478,0.0,-0.047941351763,1.47170373482,0.114498550569,0.0,389.430548802
24, 01/02  01:00:00,1.07911057158,0.0839548024689,0.0,1.07911057158,0.0839548024689,0.0778,0.0478,0.0,-0.047941351763,1.07911057158,0.0839548024689,0.0,389.430548802
25, 01/02  02:00:00,0.91034275783,0.0708246665592,0.0,0.91034275783,0.0708246665592,0.0778,0.0478,0.0,-0.047941351763,0.91034275783,0.0708246665592,0.0,389.430548802
26, 01/02  03:00:00,0.845163021001,0.0657536830339,0.0,0.845163021001,0.0657536830339,0.0778,0.0478,0.0,-0.047941351763,0.845163021001,0.0657536830339,1.38777878078e-17,389.430548802
27, 01/02  04:00:00,0.805172530332,0.0626424228598,0.0,0.805172530332,0.0626424228598,0.0778,0.0478,0.0,-0.047941351763,0.805172530332,0.0626424228598,0.0,389.430548802
28, 01/02  05:00:00,0.798605051139,0.0621314729786,0.0,0.798605051139,0.0621314729786,0.0778,0.0478,0.0,-0.047941351763,0.798605051139,0.0621314729786,0.0,389.430548802
29, 01/02  06:00:00,0.866022641179,0.0673765614837,0.0,0.866022641179,0.0673765614837,0.0778,0.0478,0.0,-0.047941351763,0.866022641179,0.0673765614837,0.0,389.430548802
30, 01/02  07:00:00,1.13246378164,0.0881056822116,0.0,1.13246378164,0.0881056822116,0.0778,0.0478,0.0,-0.047941351763,1.13246378164,0.0881056822116,0.0,389.430548802
31, 01/02  08:00:00,1.55940813194,0.121321952665,0.000919,1.55848913194,0.121250454465,0.0778,0.0478,0.0,-0.047941351763,1.55848913194,0.121250454465,1.38777878078e-17,389.430548802
32, 01/02  09:00:00,1.45971981997,0.0804159648821,0.329399,1.13032081997,0.0622693739721,0.05509,0.02509,0.0,-0.047941351763,1.13032081997,0.0622693739721,0.0,389.430548802
33, 01/02  10:00:00,1.21078431716,0.0667021080323,0.652195,0.55858931716,0.0307726854823,0.05509,0.02509,0.0,-0.047941351763,0.55858931716,0.0307726854823,1.04083408559e-17,389.430548802
34, 01/02  11:00:00,1.20187367836,0.0662112209409,0.607027,0.59484667836,0.0327701035109,0.05509,0.02509,0.0,-0.047941351763,0.59484667836,0.0327701035109,1.38777878078e-17,389.430548802
35, 01/02  12:00:00,1.19947993677,0.0660793497167,0.701795,0.49768493677,0.0274174631667,0.05509,0.02509,0.0,-0.047941351763,0.49768493677,0.0274174631667,0.0,389.430548802
36, 01/02  13:00:00,1.18526077303,0.0652960159862,0.697115,0.48814577303,0.0268919506362,0.05509,0.02509,0.0,-0.047941351763,0.48814577303,0.0268919506362,-6.93889390391e-18,389.430548802
37, 01/02  14:00:00,1.15955000905,0.0638796099986,0.689243,0.47030700905,0.0259092131286,0.05509,0.02509,0.0,-0.047941351763,0.47030700905,0.0259092131286,-3.46944695195e-18,389.430548802
38, 01/02  15:00:00,1.169338555,0.0644188609949,0.574697,0.594641555,0.032758803265,0.05509,0.02509,0.0,-0.047941351763,0.594641555,0.0327588032649,6.93889390391e-18,389.430548802
39, 01/02  16:00:00,1.26315553878,0.0695872386314,0.346002,0.91715353878,0.0505259884514,0.05509,0.02509,0.0,-0.047941351763,0.91715353878,0.0505259884514,0.0,389.430548802
40, 01/02  17:00:00,1.588998885,0.279155324117,0.106185,1.482813885,0.260500743317,0.17568,0.14568,0.0,-0.047941351763,1.482813885,0.260500743317,0.0,389.430548802
41, 01/02  18:00:00,2.20901671416,0.388080056344,0.0,2.20901671416,0.388080056344,0.17568,0.14568,0.0,-0.047941351763,2.20901671416,0.388080056344,-5.55111512313e-17,389.430548802
42, 01/02  19:00:00,2.62539103398,0.46122869685,0.0,2.62539103398,0.46122869685,0.17568,0.14568,0.0,-0.047941351763,2.62539103398,0.46122869685,-5.55111512313e-17,389.430548802
43, 01/02  20:00:00,2.59268812768,0.455483450271,0.0,2.59268812768,0.455483450271,0.17568,0.14568,0.0,-0.047941351763,2.59268812768,0.455483450271,0.0,389.430548802
44, 01/02  21:00:00,2.39413440146,0.420601531648,0.0,2.39413440146,0.420601531648,0.17568,0.14568,0.0,-0.047941351763,2.39413440146,0.420601531648,-5.55111512313e-17,389.430548802
45, 01/02  22:00:00,2.16127624584,0.168147291926,0.0,2.16127624584,0.168147291926,0.0778,0.0478,0.0,-0.047941351763,2.16127624584,0.168147291926,-2.77555756156e-17,389.430548802
