,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.16433755661,0.0905854619043,0.0,1.16433755661,0.0905854619043,0.0778,0.0478,0.0,0.0,1.16433755661,0.0905854619043,0.0,449.504630512
1, 01/01  02:00:00,1.03416621679,0.0804581316663,0.0,1.03416621679,0.0804581316663,0.0778,0.0478,0.0,0.0,1.03416621679,0.0804581316663,-1.38777878078e-17,449.504630512
2, 01/01  03:00:00,0.986180224628,0.0767248214761,0.0,0.986180224628,0.0767248214761,0.0778,0.0478,0.0,0.0,0.986180224628,0.0767248214761,-1.38777878078e-17,449.504630512
3, 01/01  04:00:00,0.974474206635,0.0758140932762,0.0,0.974474206635,0.0758140932762,0.0778,0.0478,0.0,0.0,0.974474206635,0.0758140932762,0.0,449.504630512
4, 01/01  05:00:00,0.990727807223,0.0770786234019,0.0,0.990727807223,0.0770786234019,0.0778,0.0478,0.0,0.0,0.990727807223,0.0770786234019,0.0,449.504630512
5, 01/01  06:00:00,1.05657554514,0.0822015774119,0.0,1.05657554514,0.0822015774119,0.0778,0.0478,0.0,0.0,1.05657554514,0.0822015774119,0.0,449.504630512
6, 01/01  07:00:00,1.3239645572,0.10300444255,0.0,1.3239645572,0.10300444255,0.0778,0.0478,0.0,0.0,1.3239645572,0.10300444255,0.0,449.504630512
7, 01/01  08:00:00,1.69508316804,0.131877470474,0.536566,1.15851716804,0.0901326356735,0.0778,0.0478,0.0,0.0,1.15851716804,0.0901326356735,0.0,449.504630512
8, 01/01  09:00:00,1.60895482927,0.0886373215445,1.74269,-0.13373517073,-0.00335541543362,0.05509,0.02509,-0.13373517073,0.0134897538158,0.0,0.0,-0.00335541543362,449.504630512
9, 01/01  10:00:00,1.34613770276,0.074158726045,2.766071,-1.41993329724,-0.0356261264278,0.05509,0.02509,-1.41993329724,0.156717227263,0.0,0.0,-0.0356261264278,449.504630512
