,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.20584222405,0.0938145250311,0.0,1.20584222405,0.0938145250311,0.0778,0.0478,0.0,0.0,1.20584222405,0.0938145250311,0.0,610.327933554
1, 01/01  02:00:00,1.0496216318,0.081660562954,0.0,1.0496216318,0.081660562954,0.0778,0.0478,0.0,0.0,1.0496216318,0.081660562954,0.0,610.327933554
2, 01/01  03:00:00,1.02222666006,0.0795292341527,0.0,1.02222666006,0.0795292341527,0.0778,0.0478,0.0,0.0,1.02222666006,0.0795292341527,0.0,610.327933554
3, 01/01  04:00:00,1.03594269563,0.08059634172,0.0,1.03594269563,0.08059634172,0.0778,0.0478,0.0,0.0,1.03594269563,0.08059634172,-1.38777878078e-17,610.327933554
4, 01/01  05:00:00,1.02235199132,0.0795389849247,0.0,1.02235199132,0.0795389849247,0.0778,0.0478,0.0,0.0,1.02235199132,0.0795389849247,-1.38777878078e-17,610.327933554
5, 01/01  06:00:00,1.09649698513,0.0853074654431,0.0,1.09649698513,0.0853074654431,0.0778,0.0478,0.0,0.0,1.09649698513,0.0853074654431,1.38777878078e-17,610.327933554
6, 01/01  07:00:00,1.36868950106,0.106484043182,0.0,1.36868950106,0.106484043182,0.0778,0.0478,0.0,0.0,1.36868950106,0.106484043182,1.38777878078e-17,610.327933554
7, 01/01  08:00:00,1.74271645254,0.135583340008,0.235873,1.50684345254,0.117232420608,0.0778,0.0478,0.0,0.0,1.50684345254,0.117232420608,1.38777878078e-17,610.327933554
8, 01/01  09:00:00,1.57811302406,0.0869382464955,1.414577,0.16353602406,0.00900919956547,0.05509,0.02509,0.0,0.0,0.16353602406,0.00900919956547,0.0,610.327933554
9, 01/01  10:00:00,1.29820116669,0.071517902273,2.574926,-1.27672483331,-0.0320330260677,0.05509,0.02509,-1.27672483331,0.12878215654,0.0,0.0,-0.0320330260677,610.327933554
10, 01/01  11:00:00,1.24052226791,0.0683403717392,3.04908,-1.80855773209,-0.0453767134981,0.05509,0.02509,-1.80855773209,0.31120984878,0.0,0.0,-0.0453767134981,610.327933554
11, 01/01  12:00:00,1.22178294351,0.067308022358,1.699847,-0.47806405649,-0.0119946271773,0.05509,0.02509,-0.47806405649,0.359431766732,0.0,0.0,-0.0119946271773,610.327933554
12, 01/01  13:00:00,1.19484039467,0.0658237573424,0.896443,0.29839739467,0.0164387124724,0.05509,0.02509,0.29839739467,0.329332673341,0.0,0.0,0.0164387124724,610.327933554
13, 01/01  14:00:00,1.12741728134,0.062109418029,2.796466,-1.66904871866,-0.0418764323512,0.05509,0.02509,-1.66904871866,0.497688209125,0.0,0.0,-0.0418764323512,610.327933554
14, 01/01  15:00:00,1.09530400542,0.0603402976586,2.309925,-1.21462099458,-0.030474840754,0.05509,0.02509,-1.21462099458,0.62020600386,0.0,0.0,-0.030474840754,610.327933554
15, 01/01  16:00:00,1.18943735107,0.0655261036704,1.627055,-0.43761764893,-0.0109798268117,0.05509,0.02509,-0.43761764893,0.664348126813,0.0,0.0,-0.0109798268117,610.327933554
16, 01/01  17:00:00,1.53227753448,0.269190517257,0.158138,1.37413953448,0.241408833417,0.17568,0.14568,1.37413953448,0.525739831572,1.11022302463e-16,1.95043980966e-17,0.241408833417,610.327933554
17, 01/01  18:00:00,2.15569396041,0.378712314965,0.0,2.15569396041,0.378712314965,0.17568,0.14568,2.15569396041,0.308296800921,0.0,0.0,0.378712314965,610.327933554
18, 01/01  19:00:00,2.59783944012,0.45638843284,0.0,2.59783944012,0.45638843284,0.17568,0.14568,2.59783944012,0.046254928847,0.0,0.0,0.45638843284,610.327933554
19, 01/01  20:00:00,2.55301639504,0.448513920281,0.0,2.55301639504,0.448513920281,0.17568,0.14568,0.0,0.046254928847,2.55301639504,0.448513920281,5.55111512313e-17,610.327933554
20, 01/01  21:00:00,2.38947908961,0.419783686463,0.0,2.38947908961,0.419783686463,0.17568,0.14568,0.0,0.046254928847,2.38947908961,0.419783686463,0.0,610.327933554
21, 01/01  22:00:00,2.20145201449,0.171272966727,0.0,2.20145201449,0.171272966727,0.0778,0.0478,0.0,0.046254928847,2.20145201449,0.171272966727,0.0,610.327933554
22, 01/01  23:00:00,1.8194414615,0.141552545705,0.0,1.8194414615,0.141552545705,0.0778,0.0478,0.0,0.046254928847,1.8194414615,0.141552545705,0.0,610.327933554
23, 01/01  24:00:00,1.47314824205,0.114610933231,0.0,1.47314824205,0.114610933231,0.0778,0.0478,0.0,0.046254928847,1.47314824205,0.114610933231,0.0,610.327933554
24, 01/02  01:00:00,1.11801634003,0.0869816712543,0.0,1.11801634003,0.0869816712543,0.0778,0.0478,0.0,0.046254928847,1.11801634003,0.0869816712543,0.0,610.327933554
25, 01/02  02:00:00,0.983568761978,0.0765216496819,0.0,0.983568761978,0.0765216496819,0.0778,0.0478,0.0,0.046254928847,0.983568761978,0.0765216496819,0.0,610.327933554
26, 01/02  03:00:00,0.928362136602,0.0722265742276,0.0,0.928362136602,0.0722265742276,0.0778,0.0478,0.0,0.046254928847,0.928362136602,0.0722265742276,0.0,610.327933554
27, 01/02  04:00:00,0.932537143465,0.0725513897616,0.0,0.932537143465,0.0725513897616,0.0778,0.0478,0.0,0.046254928847,0.932537143465,0.0725513897616,-1.38777878078e-17,610.327933554
28, 01/02  05:00:00,0.946920106321,0.0736703842718,0.0,0.946920106321,0.0736703842718,0.0778,0.0478,0.0,0.046254928847,0.946920106321,0.0736703842718,-2.77555756156e-17,610.327933554
