,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.09160446385,0.0849268272875,0.0,1.09160446385,0.0849268272875,0.0778,0.0478,0.0,0.0,1.09160446385,0.0849268272875,-1.38777878078e-17,389.196726727
1, 01/01  02:00:00,0.930155857648,0.072366125725,0.0,0.930155857648,0.072366125725,0.0778,0.0478,0.0,0.0,0.930155857648,0.072366125725,0.0,389.196726727
2, 01/01  03:00:00,0.868613127333,0.0675781013065,0.0,0.868613127333,0.0675781013065,0.0778,0.0478,0.0,0.0,0.868613127333,0.0675781013065,0.0,389.196726727
3, 01/01  04:00:00,0.855131786224,0.0665292529682,0.0,0.855131786224,0.0665292529682,0.0778,0.0478,0.0,0.0,0.855131786224,0.0665292529682,0.0,389.196726727
4, 01/01  05:00:00,0.855792191537,0.0665806325016,0.0,0.855792191537,0.0665806325016,0.0778,0.0478,0.0,0.0,0.855792191537,0.0665806325016,0.0,389.196726727
5, 01/01  06:00:00,0.916427264046,0.0712980411428,0.0,0.916427264046,0.0712980411428,0.0778,0.0478,0.0,0.0,0.916427264046,0.0712980411428,0.0,389.196726727
6, 01/01  07:00:00,1.18737663259,0.0923779020155,0.0,1.18737663259,0.0923779020155,0.0778,0.0478,0.0,0.0,1.18737663259,0.0923779020155,0.0,389.196726727
7, 01/01  08:00:00,1.63608749627,0.12728760721,0.0,1.63608749627,0.12728760721,0.0778,0.0478,0.0,0.0,1.63608749627,0.12728760721,0.0,389.196726727
8, 01/01  09:00:00,1.52765729544,0.0841586404058,0.320019,1.20763829544,0.0665287936958,0.05509,0.02509,0.0,0.0,1.20763829544,0.0665287936958,0.0,389.196726727
9, 01/01  10:00:00,1.24905784828,0.0688105968617,1.234958,0.01409984828,0.000776760641745,0.05509,0.02509,0.0,0.0,0.01409984828,0.000776760641745,-1.21430643318e-17,389.196726727
10, 01/01  11:00:00,1.19767333037,0.0659798237701,0.817016,0.38065733037,0.0209704123301,0.05509,0.02509,0.0,0.0,0.38065733037,0.0209704123301,0.0,389.196726727
11, 01/01  12:00:00,1.17950312897,0.064978827375,2.50448,-1.32497687103,-0.0332436696941,0.05509,0.02509,-1.32497687103,0.133649298866,0.0,0.0,-0.0332436696941,389.196726727
12, 01/01  13:00:00,1.13051465574,0.0622800523847,2.796281,-1.66576634426,-0.0417940775775,0.05509,0.02509,-1.66576634426,0.301673744314,0.0,0.0,-0.0417940775775,389.196726727
13, 01/01  14:00:00,1.07308121603,0.0591160441911,1.634951,-0.56186978397,-0.0140973128798,0.05509,0.02509,-0.56186978397,0.358349075275,0.0,0.0,-0.0140973128798,389.196726727
14, 01/01  15:00:00,1.07218042133,0.0590664194111,1.552725,-0.48054457867,-0.0120568634788,0.05509,0.02509,-0.48054457867,0.406821201406,0.0,0.0,-0.0120568634788,389.196726727
15, 01/01  16:00:00,1.15948438567,0.0638759948066,0.66142,0.49806438567,0.0274383670066,0.05509,0.02509,0.49806438567,0.356581867127,0.0,0.0,0.0274383670066,389.196726727
16, 01/01  17:00:00,1.51908021431,0.26687201205,0.227952,1.29112821431,0.22682540469,0.17568,0.14568,1.29112821431,0.2263468537,-5.55111512313e-17,-8.08686451137e-18,0.22682540469,389.196726727
17, 01/01  18:00:00,2.17981079299,0.382949160112,0.0,2.17981079299,0.382949160112,0.17568,0.14568,2.17981079299,0.00647117849882,0.0,0.0,0.382949160112,389.196726727
18, 01/01  19:00:00,2.61706356022,0.459765726259,0.0,2.61706356022,0.459765726259,0.17568,0.14568,0.0,0.00647117849882,2.61706356022,0.459765726259,0.0,389.196726727
19, 01/01  20:00:00,2.6060389922,0.45782893015,0.0,2.6060389922,0.45782893015,0.17568,0.14568,0.0,0.00647117849882,2.6060389922,0.45782893015,5.55111512313e-17,389.196726727
20, 01/01  21:00:00,2.41139660265,0.423634155154,0.0,2.41139660265,0.423634155154,0.17568,0.14568,0.0,0.00647117849882,2.41139660265,0.423634155154,0.0,389.196726727
21, 01/01  22:00:00,2.22339405469,0.172980057455,0.0,2.22339405469,0.172980057455,0.0778,0.0478,0.0,0.00647117849882,2.22339405469,0.172980057455,2.77555756156e-17,389.196726727
22, 01/01  23:00:00,1.85657620364,0.144441628643,0.0,1.85657620364,0.144441628643,0.0778,0.0478,0.0,0.00647117849882,1.85657620364,0.144441628643,2.77555756156e-17,389.196726727
23, 01/01  24:00:00,1.46983114096,0.114352862767,0.0,1.46983114096,0.114352862767,0.0778,0.0478,0.0,0.00647117849882,1.46983114096,0.114352862767,0.0,389.196726727
24, 01/02  01:00:00,1.08206975759,0.0841850271405,0.0,1.08206975759,0.0841850271405,0.0778,0.0478,0.0,0.00647117849882,1.08206975759,0.0841850271405,-1.38777878078e-17,389.196726727
