,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,chargesolar,grid,highsolar,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0,0,1.63530405443,0.153662212186,0.0,1.63530405443,0.153662212186,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.63530405443,0.153662212186,0.0,0.398319436559
1,1,1.43307831999,0.134659963869,0.0,1.43307831999,0.134659963869,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.43307831999,0.134659963869,0.0,0.398319436559
2,2,1.35235927903,0.127075156404,0.0,1.35235927903,0.127075156404,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.35235927903,0.127075156404,0.0,0.398319436559
3,3,1.33129507059,0.125095846894,0.0,1.33129507059,0.125095846894,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.33129507059,0.125095846894,0.0,0.398319436559
4,4,1.31188292038,0.123271773911,0.0,1.31188292038,0.123271773911,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.31188292038,0.123271773911,1.38777878078e-17,0.398319436559
5,5,1.34597989527,0.126475714228,0.0,1.34597989527,0.126475714228,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.34597989527,0.126475714228,0.0,0.398319436559
6,6,1.66687903044,0.156629171541,0.0,1.66687903044,0.156629171541,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.66687903044,0.156629171541,0.0,0.398319436559
7,7,2.08651533362,0.196060519177,0.001645,2.08487033362,0.19590594588,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,2.08487033362,0.19590594588,-2.77555756156e-17,0.398319436559
8,8,1.97476948214,0.185560261017,0.468628,1.50614148214,0.141525382624,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,1.50614148214,0.141525382624,0.0,0.398319436559
9,9,1.58731600787,0.149152989957,0.851073,0.73624300787,0.0691814644433,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,0.73624300787,0.0691814644433,1.38777878078e-17,0.398319436559
10,10,1.49732525092,0.140696960785,1.268497,0.22882825092,0.0215019678767,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,0.22882825092,0.0215019678767,1.73472347598e-17,0.398319436559
11,11,1.44388179508,0.135675118132,3.421437,-1.97755520492,-0.185822022935,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,-1.97755520492,-0.185822022935,-2.77555756156e-17,0.398319436559
12,12,1.3959036155,0.131166823059,3.569922,-2.1740183845,-0.204282789729,0.09396553,0.09396553,0.0,0.0,0.0,0.0,0.0,-2.1740183845,-0.204282789729,2.77555756156e-17,0.398319436559
