,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.989061558844,0.0769489892781,0.0,0.989061558844,0.0769489892781,0.0778,0.0478,0.0,0.0,0.989061558844,0.0769489892781,0.0,621.615048648
1, 01/01  02:00:00,0.849671665521,0.0661044555775,0.0,0.849671665521,0.0661044555775,0.0778,0.0478,0.0,0.0,0.849671665521,0.0661044555775,1.38777878078e-17,621.615048648
2, 01/01  03:00:00,0.798544596736,0.0621267696261,0.0,0.798544596736,0.0621267696261,0.0778,0.0478,0.0,0.0,0.798544596736,0.0621267696261,-6.93889390391e-18,621.615048648
3, 01/01  04:00:00,0.790223213964,0.0614793660464,0.0,0.790223213964,0.0614793660464,0.0778,0.0478,0.0,0.0,0.790223213964,0.0614793660464,6.93889390391e-18,621.615048648
4, 01/01  05:00:00,0.805450594418,0.0626640562457,0.0,0.805450594418,0.0626640562457,0.0778,0.0478,0.0,0.0,0.805450594418,0.0626640562457,0.0,621.615048648
5, 01/01  06:00:00,0.865706179954,0.0673519408004,0.0,0.865706179954,0.0673519408004,0.0778,0.0478,0.0,0.0,0.865706179954,0.0673519408004,0.0,621.615048648
6, 01/01  07:00:00,1.15308060595,0.0897096711429,0.0,1.15308060595,0.0897096711429,0.0778,0.0478,0.0,0.0,1.15308060595,0.0897096711429,0.0,621.615048648
7, 01/01  08:00:00,1.52786157373,0.118867630436,0.49089,1.03697157373,0.0806763884362,0.0778,0.0478,0.0,0.0,1.03697157373,0.0806763884362,-2.77555756156e-17,621.615048648
8, 01/01  09:00:00,1.46105956245,0.0804897712954,1.665964,-0.20490443755,-0.00514105233813,0.05509,0.02509,-0.20490443755,0.020668537702,0.0,0.0,-0.00514105233813,621.615048648
9, 01/01  10:00:00,1.20894650826,0.06660086314,1.952506,-0.74355949174,-0.0186559076478,0.05509,0.02509,-0.74355949174,0.0956707561627,0.0,0.0,-0.0186559076478,621.615048648
10, 01/01  11:00:00,1.18448919113,0.0652535095394,1.828104,-0.64361480887,-0.0161482955545,0.05509,0.02509,-0.64361480887,0.160591638803,0.0,0.0,-0.0161482955545,621.615048648
11, 01/01  12:00:00,1.15902645891,0.0638507676214,2.378402,-1.21937554109,-0.0305941323259,0.05509,0.02509,-1.21937554109,0.283589020633,0.0,0.0,-0.0305941323259,621.615048648
12, 01/01  13:00:00,1.09819612292,0.0604996244117,2.209082,-1.11088587708,-0.0278721266559,0.05509,0.02509,-1.11088587708,0.395643141605,0.0,0.0,-0.0278721266559,621.615048648
13, 01/01  14:00:00,1.05689307198,0.0582242393354,2.823292,-1.76639892802,-0.044318949104,0.05509,0.02509,-1.76639892802,0.573818310855,0.0,0.0,-0.044318949104,621.615048648
14, 01/01  15:00:00,1.05513934416,0.0581276264698,2.244442,-1.18930265584,-0.029839603635,0.05509,0.02509,-1.18930265584,0.693782266127,0.0,0.0,-0.029839603635,621.615048648
15, 01/01  16:00:00,1.13975401648,0.0627890487679,0.803725,0.33602901648,0.0185118385179,0.05509,0.02509,0.33602901648,0.659887302801,0.0,0.0,0.0185118385179,621.615048648
16, 01/01  17:00:00,1.45494086286,0.255604010787,0.069945,1.38499586286,0.243316073187,0.17568,0.14568,1.38499586286,0.520183938878,-8.32667268469e-17,-1.21302967671e-17,0.243316073187,621.615048648
17, 01/01  18:00:00,2.05958621979,0.361828107093,0.0,2.05958621979,0.361828107093,0.17568,0.14568,2.05958621979,0.31243521492,0.0,0.0,0.361828107093,621.615048648
18, 01/01  19:00:00,2.47589020149,0.434964390598,0.0,2.47589020149,0.434964390598,0.17568,0.14568,2.47589020149,0.0626942596371,0.0,0.0,0.434964390598,621.615048648
19, 01/01  20:00:00,2.45722716134,0.431685667704,0.0,2.45722716134,0.431685667704,0.17568,0.14568,0.0,0.0626942596371,2.45722716134,0.431685667704,-5.55111512313e-17,621.615048648
20, 01/01  21:00:00,2.27432190257,0.399552871843,0.0,2.27432190257,0.399552871843,0.17568,0.14568,0.0,0.0626942596371,2.27432190257,0.399552871843,-5.55111512313e-17,621.615048648
21, 01/01  22:00:00,2.08252565375,0.162020495862,0.0,2.08252565375,0.162020495862,0.0778,0.0478,0.0,0.0626942596371,2.08252565375,0.162020495862,0.0,621.615048648
22, 01/01  23:00:00,1.71155825543,0.133159232272,0.0,1.71155825543,0.133159232272,0.0778,0.0478,0.0,0.0626942596371,1.71155825543,0.133159232272,-2.77555756156e-17,621.615048648
23, 01/01  24:00:00,1.3339251243,0.103779374671,0.0,1.3339251243,0.103779374671,0.0778,0.0478,0.0,0.0626942596371,1.3339251243,0.103779374671,0.0,621.615048648
24, 01/02  01:00:00,0.955070051786,0.074304450029,0.0,0.955070051786,0.074304450029,0.0778,0.0478,0.0,0.0626942596371,0.955070051786,0.074304450029,0.0,621.615048648
25, 01/02  02:00:00,0.811080208901,0.0631020402525,0.0,0.811080208901,0.0631020402525,0.0778,0.0478,0.0,0.0626942596371,0.811080208901,0.0631020402525,0.0,621.615048648
26, 01/02  03:00:00,0.751561500346,0.0584714847269,0.0,0.751561500346,0.0584714847269,0.0778,0.0478,0.0,0.0626942596371,0.751561500346,0.0584714847269,-6.93889390391e-18,621.615048648
27, 01/02  04:00:00,0.731205336666,0.0568877751926,0.0,0.731205336666,0.0568877751926,0.0778,0.0478,0.0,0.0626942596371,0.731205336666,0.0568877751926,6.93889390391e-18,621.615048648
28, 01/02  05:00:00,0.729252782579,0.0567358664846,0.0,0.729252782579,0.0567358664846,0.0778,0.0478,0.0,0.0626942596371,0.729252782579,0.0567358664846,6.93889390391e-18,621.615048648
29, 01/02  06:00:00,0.789087454589,0.061391003967,0.0,0.789087454589,0.061391003967,0.0778,0.0478,0.0,0.0626942596371,0.789087454589,0.061391003967,-6.93889390391e-18,621.615048648
30, 01/02  07:00:00,1.05599717854,0.0821565804904,0.0,1.05599717854,0.0821565804904,0.0778,0.0478,0.0,0.0626942596371,1.05599717854,0.0821565804904,-1.38777878078e-17,621.615048648
31, 01/02  08:00:00,1.46339599783,0.113852208631,0.387909,1.07548699783,0.0836728884312,0.0778,0.0478,0.0,0.0626942596371,1.07548699783,0.0836728884312,0.0,621.615048648
32, 01/02  09:00:00,1.38081103576,0.07606887996,1.641292,-0.26048096424,-0.00653546739278,0.05509,0.02509,-0.26048096424,0.0889687546867,0.0,0.0,-0.00653546739278,621.615048648
33, 01/02  10:00:00,1.16388046021,0.064118174553,2.311593,-1.14771253979,-0.0287961076233,0.05509,0.02509,-1.14771253979,0.20473755005,0.0,0.0,-0.0287961076233,621.615048648
34, 01/02  11:00:00,1.15980287269,0.0638935402565,3.232389,-2.07258612731,-0.0520011859342,0.05509,0.02509,-2.07258612731,0.413797563708,4.4408920985e-16,2.44648745706e-17,-0.0520011859342,621.615048648
