,Utility,FIPS,Solar,ESS
0,Arizona Public Service Co,04027,1645.839903,429.4940748
1,Arizona Public Service Co,04025,1645.839903,429.4940748
2,Arizona Public Service Co,04021,1645.839903,429.4940748
3,Arizona Public Service Co,04001,1645.839903,429.4940748
4,Arizona Public Service Co,04019,1645.839903,429.4940748
5,Arizona Public Service Co,04012,1645.839903,429.4940748
6,Arizona Public Service Co,04013,1645.839903,429.4940748
7,Arizona Public Service Co,04003,1645.839903,429.4940748
8,Arizona Public Service Co,04005,1645.839903,429.4940748
9,Arizona Public Service Co,04017,1645.839903,429.4940748
10,Arizona Public Service Co,04007,1645.839903,429.4940748
11,Arizona Public Service Co,04015,1645.839903,429.4940748
12,Eversource Energy (Formerly NSTAR Electric Company),25005,1311.379197,187.2498034
13,Eversource Energy (Formerly NSTAR Electric Company),25007,1311.379197,187.2498034
14,Eversource Energy (Formerly NSTAR Electric Company),25001,1311.379197,187.2498034
15,Eversource Energy (Formerly NSTAR Electric Company),25027,1311.379197,187.2498034
16,Eversource Energy (Formerly NSTAR Electric Company),25025,1311.379197,187.2498034
17,Eversource Energy (Formerly NSTAR Electric Company),25017,1311.379197,187.2498034
18,Eversource Energy (Formerly NSTAR Electric Company),25023,1311.379197,187.2498034
19,Eversource Energy (Formerly NSTAR Electric Company),25021,1311.379197,187.2498034
20,Maui Electric Co Ltd,15003,4357.524096,963.2441409
21,Maui Electric Co Ltd,15009,4357.524096,963.2441409
22,Pacific Gas & Electric Co,06099,4284.167721,176.7171501
23,Pacific Gas & Electric Co,06031,4284.167721,176.7171501
24,Pacific Gas & Electric Co,06107,4284.167721,176.7171501
25,Pacific Gas & Electric Co,06091,4284.167721,176.7171501
26,Pacific Gas & Electric Co,06095,4284.167721,176.7171501
27,Pacific Gas & Electric Co,06097,4284.167721,176.7171501
28,Pacific Gas & Electric Co,06011,4284.167721,176.7171501
29,Pacific Gas & Electric Co,06013,4284.167721,176.7171501
30,Pacific Gas & Electric Co,06017,4284.167721,176.7171501
31,Pacific Gas & Electric Co,06115,4284.167721,176.7171501
32,Pacific Gas & Electric Co,06019,4284.167721,176.7171501
33,Pacific Gas & Electric Co,06053,4284.167721,176.7171501
34,Pacific Gas & Electric Co,06035,4284.167721,176.7171501
35,Pacific Gas & Electric Co,06113,4284.167721,176.7171501
36,Pacific Gas & Electric Co,06077,4284.167721,176.7171501
37,Pacific Gas & Electric Co,06075,4284.167721,176.7171501
38,Pacific Gas & Electric Co,06033,4284.167721,176.7171501
39,Pacific Gas & Electric Co,06057,4284.167721,176.7171501
40,Pacific Gas & Electric Co,06079,4284.167721,176.7171501
41,Pacific Gas & Electric Co,06029,4284.167721,176.7171501
42,Pacific Gas & Electric Co,06089,4284.167721,176.7171501
43,Pacific Gas & Electric Co,06087,4284.167721,176.7171501
44,Pacific Gas & Electric Co,06085,4284.167721,176.7171501
45,Pacific Gas & Electric Co,06083,4284.167721,176.7171501
46,Pacific Gas & Electric Co,06067,4284.167721,176.7171501
47,Pacific Gas & Electric Co,06081,4284.167721,176.7171501
48,Pacific Gas & Electric Co,06007,4284.167721,176.7171501
49,Pacific Gas & Electric Co,06005,4284.167721,176.7171501
50,Pacific Gas & Electric Co,06039,4284.167721,176.7171501
51,Pacific Gas & Electric Co,06003,4284.167721,176.7171501
52,Pacific Gas & Electric Co,06001,4284.167721,176.7171501
53,Pacific Gas & Electric Co,06109,4284.167721,176.7171501
54,Pacific Gas & Electric Co,06047,4284.167721,176.7171501
55,Pacific Gas & Electric Co,06103,4284.167721,176.7171501
56,Pacific Gas & Electric Co,06009,4284.167721,176.7171501
57,Pacific Gas & Electric Co,06101,4284.167721,176.7171501
58,Pacific Gas & Electric Co,06043,4284.167721,176.7171501
59,Pacific Gas & Electric Co,06041,4284.167721,176.7171501
60,Pacific Gas & Electric Co,06040,4284.167721,176.7171501
61,Pacific Gas & Electric Co,06061,4284.167721,176.7171501
62,Pacific Gas & Electric Co,06063,4284.167721,176.7171501
63,Pacific Gas & Electric Co,06045,4284.167721,176.7171501
64,Pacific Gas & Electric Co,06021,4284.167721,176.7171501
65,Pacific Gas & Electric Co,06023,4284.167721,176.7171501
66,Pacific Gas & Electric Co,06069,4284.167721,176.7171501
67,Pacific Gas & Electric Co,06055,4284.167721,176.7171501
68,Pacific Gas & Electric Co,06049,4284.167721,176.7171501
69,Delmarva Power,24025,1486.623464,73.06372172
70,Delmarva Power,10005,1486.623464,73.06372172
71,Delmarva Power,24001,1486.623464,73.06372172
72,Delmarva Power,24035,1486.623464,73.06372172
73,Delmarva Power,24021,1486.623464,73.06372172
74,Delmarva Power,24019,1486.623464,73.06372172
75,Delmarva Power,10003,1486.623464,73.06372172
76,Delmarva Power,24015,1486.623464,73.06372172
77,Delmarva Power,24029,1486.623464,73.06372172
78,Delmarva Power,24011,1486.623464,73.06372172
79,Delmarva Power,24039,1486.623464,73.06372172
80,Delmarva Power,24047,1486.623464,73.06372172
81,Delmarva Power,24045,1486.623464,73.06372172
82,Delmarva Power,24041,1486.623464,73.06372172
83,Delmarva Power,10001,1486.623464,73.06372172
84,Consolidated Edison Co-NY Inc,36005,2081.795186,25.87172056
85,Consolidated Edison Co-NY Inc,36119,2081.795186,25.87172056
86,Consolidated Edison Co-NY Inc,36061,2081.795186,25.87172056
87,Consolidated Edison Co-NY Inc,36081,2081.795186,25.87172056
88,Consolidated Edison Co-NY Inc,36059,2081.795186,25.87172056
89,Consolidated Edison Co-NY Inc,36047,2081.795186,25.87172056
90,Consolidated Edison Co-NY Inc,36085,2081.795186,25.87172056
91,Eversource Energy (Formerly Connecticut Light & Power Co),09015,1424.955095,125.1768021
92,Eversource Energy (Formerly Connecticut Light & Power Co),09007,1424.955095,125.1768021
93,Eversource Energy (Formerly Connecticut Light & Power Co),09005,1424.955095,125.1768021
94,Eversource Energy (Formerly Connecticut Light & Power Co),09011,1424.955095,125.1768021
95,Eversource Energy (Formerly Connecticut Light & Power Co),09003,1424.955095,125.1768021
96,Eversource Energy (Formerly Connecticut Light & Power Co),09013,1424.955095,125.1768021
97,Eversource Energy (Formerly Connecticut Light & Power Co),09001,1424.955095,125.1768021
98,Eversource Energy (Formerly Connecticut Light & Power Co),09009,1424.955095,125.1768021
99,Baltimore Gas & Electric Co,24003,988.0719056,377.7965538
100,Baltimore Gas & Electric Co,24025,988.0719056,377.7965538
101,Baltimore Gas & Electric Co,24027,988.0719056,377.7965538
102,Baltimore Gas & Electric Co,24033,988.0719056,377.7965538
103,Baltimore Gas & Electric Co,24005,988.0719056,377.7965538
104,Baltimore Gas & Electric Co,24031,988.0719056,377.7965538
105,Baltimore Gas & Electric Co,24009,988.0719056,377.7965538
106,Baltimore Gas & Electric Co,24510,988.0719056,377.7965538
107,Baltimore Gas & Electric Co,24013,988.0719056,377.7965538
108,PPL Electric Utilities Corp,42103,910.3727954,-4.29e-15
109,PPL Electric Utilities Corp,42133,910.3727954,-4.29e-15
110,PPL Electric Utilities Corp,42037,910.3727954,-4.29e-15
111,PPL Electric Utilities Corp,42035,910.3727954,-4.29e-15
112,PPL Electric Utilities Corp,42107,910.3727954,-4.29e-15
113,PPL Electric Utilities Corp,42017,910.3727954,-4.29e-15
114,PPL Electric Utilities Corp,42091,910.3727954,-4.29e-15
115,PPL Electric Utilities Corp,42093,910.3727954,-4.29e-15
116,PPL Electric Utilities Corp,42095,910.3727954,-4.29e-15
117,PPL Electric Utilities Corp,42097,910.3727954,-4.29e-15
118,PPL Electric Utilities Corp,42077,910.3727954,-4.29e-15
119,PPL Electric Utilities Corp,42075,910.3727954,-4.29e-15
120,PPL Electric Utilities Corp,42109,910.3727954,-4.29e-15
121,PPL Electric Utilities Corp,42079,910.3727954,-4.29e-15
122,PPL Electric Utilities Corp,42099,910.3727954,-4.29e-15
123,PPL Electric Utilities Corp,42041,910.3727954,-4.29e-15
124,PPL Electric Utilities Corp,42127,910.3727954,-4.29e-15
125,PPL Electric Utilities Corp,42025,910.3727954,-4.29e-15
126,PPL Electric Utilities Corp,42029,910.3727954,-4.29e-15
127,PPL Electric Utilities Corp,42115,910.3727954,-4.29e-15
128,PPL Electric Utilities Corp,42131,910.3727954,-4.29e-15
129,PPL Electric Utilities Corp,42069,910.3727954,-4.29e-15
130,PPL Electric Utilities Corp,42081,910.3727954,-4.29e-15
131,PPL Electric Utilities Corp,42011,910.3727954,-4.29e-15
132,PPL Electric Utilities Corp,42043,910.3727954,-4.29e-15
133,PPL Electric Utilities Corp,42067,910.3727954,-4.29e-15
134,PPL Electric Utilities Corp,42071,910.3727954,-4.29e-15
