,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,chargesolar,grid,highsolar,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0,0,1.02358366318,0.278798978985,0.0,1.02358366318,0.278798978985,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,1.02358366318,0.278798978985,5.55111512313e-17,194.310521299
1,1,0.808277962552,0.220155009113,0.0,0.808277962552,0.220155009113,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,0.808277962552,0.220155009113,2.77555756156e-17,194.310521299
2,2,0.73127190995,0.199180457043,0.0,0.73127190995,0.199180457043,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,0.73127190995,0.199180457043,0.0,194.310521299
3,3,0.719584769905,0.195997167949,0.0,0.719584769905,0.195997167949,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,0.719584769905,0.195997167949,0.0,194.310521299
4,4,0.759057979392,0.206748697988,0.0,0.759057979392,0.206748697988,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,0.759057979392,0.206748697988,2.77555756156e-17,194.310521299
5,5,1.01010884505,0.275128770411,0.0,1.01010884505,0.275128770411,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,1.01010884505,0.275128770411,0.0,194.310521299
6,6,1.63658168582,0.44576454221,0.0,1.63658168582,0.44576454221,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,1.63658168582,0.44576454221,0.0,194.310521299
7,7,2.15691743436,0.587491184243,0.277734,1.87918343436,0.511843283232,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,1.87918343436,0.511843283232,0.0,194.310521299
8,8,2.06989737769,0.56378906411,1.092498,0.97739937769,0.266219517136,0.27237537,0.1507,1.0,0.0,0.0,0.0,0.0,0.97739937769,0.266219517136,0.0,194.310521299
9,9,1.77424561455,0.483260805734,2.721082,-0.94683638545,-0.142688243287,0.27237537,0.1507,1.0,0.0,0.0,-0.94683638545,0.095506587189,0.0,0.0,-0.142688243287,194.310521299
10,10,1.67091252629,0.455115417586,3.473288,-1.80237547371,-0.271617983888,0.27237537,0.1507,1.0,0.0,0.0,-1.80237547371,0.277310680243,0.0,0.0,-0.271617983888,194.310521299
11,11,1.60697044903,0.437699170634,4.087069,-2.48009855097,-0.373750851631,0.27237537,0.1507,1.0,0.0,0.0,-2.48009855097,0.527476128187,0.0,0.0,-0.373750851631,194.310521299
12,12,1.52007501459,0.414030994527,3.804526,-2.28445098541,-0.344266763501,0.27237537,0.1507,1.0,0.0,0.0,-2.28445098541,0.757906771294,0.0,0.0,-0.344266763501,194.310521299
13,13,1.45153907555,0.395363492772,4.344913,-2.89337392445,-0.436031450415,0.27237537,0.1507,1.0,0.0,0.0,-2.400071915,1.0,-0.493302009454,-0.0743406128247,-0.36169083759,194.310521299
14,14,1.41546138999,0.385536819819,3.637002,-2.22154061001,-0.334786169929,0.27237537,0.1507,1.0,0.0,0.0,-0.0,1.0,-2.22154061001,-0.334786169929,-5.55111512313e-17,194.310521299
