,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.10648009195,0.0860841511537,0.0,1.10648009195,0.0860841511537,0.0778,0.0478,0.0,0.0,1.10648009195,0.0860841511537,0.0,485.914994708
1, 01/01  02:00:00,0.986848544752,0.0767768167817,0.0,0.986848544752,0.0767768167817,0.0778,0.0478,0.0,0.0,0.986848544752,0.0767768167817,0.0,485.914994708
2, 01/01  03:00:00,0.933064103097,0.0725923872209,0.0,0.933064103097,0.0725923872209,0.0778,0.0478,0.0,0.0,0.933064103097,0.0725923872209,-1.38777878078e-17,485.914994708
3, 01/01  04:00:00,0.917934352132,0.0714152925959,0.0,0.917934352132,0.0714152925959,0.0778,0.0478,0.0,0.0,0.917934352132,0.0714152925959,0.0,485.914994708
4, 01/01  05:00:00,0.900447575853,0.0700548214014,0.0,0.900447575853,0.0700548214014,0.0778,0.0478,0.0,0.0,0.900447575853,0.0700548214014,1.38777878078e-17,485.914994708
5, 01/01  06:00:00,0.965344151811,0.0751037750109,0.0,0.965344151811,0.0751037750109,0.0778,0.0478,0.0,0.0,0.965344151811,0.0751037750109,-1.38777878078e-17,485.914994708
6, 01/01  07:00:00,1.23080517339,0.0957566424897,0.0,1.23080517339,0.0957566424897,0.0778,0.0478,0.0,0.0,1.23080517339,0.0957566424897,-1.38777878078e-17,485.914994708
7, 01/01  08:00:00,1.61009016691,0.125265014986,0.006627,1.60346316691,0.124749434386,0.0778,0.0478,0.0,0.0,1.60346316691,0.124749434386,0.0,485.914994708
8, 01/01  09:00:00,1.50290411011,0.082794987426,0.413536,1.08936811011,0.060013289186,0.05509,0.02509,0.0,0.0,1.08936811011,0.060013289186,6.93889390391e-18,485.914994708
9, 01/01  10:00:00,1.23897024802,0.0682548709634,0.725463,0.51350724802,0.0282891142934,0.05509,0.02509,0.0,0.0,0.51350724802,0.0282891142934,0.0,485.914994708
10, 01/01  11:00:00,1.20183673852,0.0662091859251,0.525565,0.67627173852,0.0372558100751,0.05509,0.02509,0.0,0.0,0.67627173852,0.0372558100751,0.0,485.914994708
11, 01/01  12:00:00,1.18872430703,0.0654868220743,0.754699,0.43402530703,0.0239104541643,0.05509,0.02509,0.0,0.0,0.43402530703,0.0239104541643,0.0,485.914994708
12, 01/01  13:00:00,1.15331601814,0.0635361794393,2.829406,-1.67608998186,-0.0420530976449,0.05509,0.02509,-1.67608998186,0.16906578206,0.0,0.0,-0.0420530976449,485.914994708
13, 01/01  14:00:00,1.09706507276,0.0604373148583,2.690889,-1.59382392724,-0.0399890423345,0.05509,0.02509,-1.59382392724,0.329833456613,0.0,0.0,-0.0399890423345,485.914994708
14, 01/01  15:00:00,1.07218042133,0.0590664194111,1.633073,-0.56089257867,-0.0140727947988,0.05509,0.02509,-0.56089257867,0.3864102177,0.0,0.0,-0.0140727947988,485.914994708
15, 01/01  16:00:00,1.15948438567,0.0638759948066,1.595614,-0.43612961433,-0.0109424920235,0.05509,0.02509,-0.43612961433,0.430402243859,0.0,0.0,-0.0109424920235,485.914994708
16, 01/01  17:00:00,1.49168386583,0.262059021549,0.302675,1.18900886583,0.208885077549,0.17568,0.14568,1.18900886583,0.310467922937,0.0,0.0,0.208885077549,485.914994708
17, 01/01  18:00:00,2.11405182386,0.371396624416,0.0,2.11405182386,0.371396624416,0.17568,0.14568,2.11405182386,0.0972252994597,0.0,0.0,0.371396624416,485.914994708
18, 01/01  19:00:00,2.55406334259,0.448697848026,0.0,2.55406334259,0.448697848026,0.17568,0.14568,0.0,0.0972252994597,2.55406334259,0.448697848026,0.0,485.914994708
19, 01/01  20:00:00,2.53354046633,0.445092389125,0.0,2.53354046633,0.445092389125,0.17568,0.14568,0.0,0.0972252994597,2.53354046633,0.445092389125,0.0,485.914994708
20, 01/01  21:00:00,2.33509436165,0.410229377455,0.0,2.33509436165,0.410229377455,0.17568,0.14568,0.0,0.0972252994597,2.33509436165,0.410229377455,0.0,485.914994708
21, 01/01  22:00:00,2.13416105144,0.166037729802,0.0,2.13416105144,0.166037729802,0.0778,0.0478,0.0,0.0972252994597,2.13416105144,0.166037729802,0.0,485.914994708
22, 01/01  23:00:00,1.76298897113,0.137160541954,0.0,1.76298897113,0.137160541954,0.0778,0.0478,0.0,0.0972252994597,1.76298897113,0.137160541954,0.0,485.914994708
23, 01/01  24:00:00,1.37551454448,0.107015031561,0.0,1.37551454448,0.107015031561,0.0778,0.0478,0.0,0.0972252994597,1.37551454448,0.107015031561,-2.77555756156e-17,485.914994708
24, 01/02  01:00:00,0.99440637275,0.0773648157999,0.0,0.99440637275,0.0773648157999,0.0778,0.0478,0.0,0.0972252994597,0.99440637275,0.0773648157999,0.0,485.914994708
