,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.86446071459,0.0672550435951,0.0,0.86446071459,0.0672550435951,0.0778,0.0478,0.0,0.0,0.86446071459,0.0672550435951,1.38777878078e-17,606.696919883
1, 01/01  02:00:00,0.71893200706,0.0559329101493,0.0,0.71893200706,0.0559329101493,0.0778,0.0478,0.0,0.0,0.71893200706,0.0559329101493,6.93889390391e-18,606.696919883
2, 01/01  03:00:00,0.666298298938,0.0518380076574,0.0,0.666298298938,0.0518380076574,0.0778,0.0478,0.0,0.0,0.666298298938,0.0518380076574,6.93889390391e-18,606.696919883
3, 01/01  04:00:00,0.654305752654,0.0509049875565,0.0,0.654305752654,0.0509049875565,0.0778,0.0478,0.0,0.0,0.654305752654,0.0509049875565,0.0,606.696919883
4, 01/01  05:00:00,0.653803181938,0.0508658875548,0.0,0.653803181938,0.0508658875548,0.0778,0.0478,0.0,0.0,0.653803181938,0.0508658875548,0.0,606.696919883
5, 01/01  06:00:00,0.714146682488,0.0555606118976,0.0,0.714146682488,0.0555606118976,0.0778,0.0478,0.0,0.0,0.714146682488,0.0555606118976,0.0,606.696919883
6, 01/01  07:00:00,0.984003120415,0.0765554427683,0.0,0.984003120415,0.0765554427683,0.0778,0.0478,0.0,0.0,0.984003120415,0.0765554427683,0.0,606.696919883
7, 01/01  08:00:00,1.39530803825,0.108554965376,0.097596,1.29771203825,0.100961996576,0.0778,0.0478,0.0,0.0,1.29771203825,0.100961996576,0.0,606.696919883
8, 01/01  09:00:00,1.3086501764,0.0720935382179,0.496059,0.8125911764,0.0447656479079,0.05509,0.02509,0.0,0.0,0.8125911764,0.0447656479079,0.0,606.696919883
9, 01/01  10:00:00,1.09731172444,0.0604509028994,1.443617,-0.34630527556,-0.0086887993638,0.05509,0.02509,-0.34630527556,0.0349315209075,0.0,0.0,-0.0086887993638,606.696919883
10, 01/01  11:00:00,1.08929196359,0.0600090942742,0.769589,0.31970296359,0.0176124362642,0.05509,0.02509,0.0,0.0349315209075,0.31970296359,0.0176124362642,0.0,606.696919883
11, 01/01  12:00:00,1.11020324402,0.0611610967131,0.499464,0.61073924402,0.0336456249531,0.05509,0.02509,0.0,0.0349315209075,0.61073924402,0.0336456249531,0.0,606.696919883
12, 01/01  13:00:00,1.08792640396,0.0599338655942,0.879508,0.20841840396,0.0114817698742,0.05509,0.02509,0.0,0.0349315209075,0.20841840396,0.0114817698742,0.0,606.696919883
13, 01/01  14:00:00,1.05689307198,0.0582242393354,0.790914,0.26597907198,0.0146527870754,0.05509,0.02509,0.0,0.0349315209075,0.26597907198,0.0146527870754,0.0,606.696919883
14, 01/01  15:00:00,1.05513934416,0.0581276264698,1.499315,-0.44417565584,-0.011144367205,0.05509,0.02509,-0.44417565584,0.0797351444834,0.0,0.0,-0.011144367205,606.696919883
15, 01/01  16:00:00,1.13975401648,0.0627890487679,0.906898,0.23285601648,0.0128280379479,0.05509,0.02509,0.0,0.0797351444834,0.23285601648,0.0128280379479,0.0,606.696919883
16, 01/01  17:00:00,1.45494086286,0.255604010787,0.089474,1.36546686286,0.239885218467,0.17568,0.14568,0.0,0.0797351444834,1.36546686286,0.239885218467,0.0,606.696919883
17, 01/01  18:00:00,2.04506620361,0.35927723065,0.0,2.04506620361,0.35927723065,0.17568,0.14568,0.0,0.0797351444834,2.04506620361,0.35927723065,0.0,606.696919883
18, 01/01  19:00:00,2.46355617771,0.4327975493,0.0,2.46355617771,0.4327975493,0.17568,0.14568,0.0,0.0797351444834,2.46355617771,0.4327975493,-5.55111512313e-17,606.696919883
19, 01/01  20:00:00,2.43038672405,0.426970339681,0.0,2.43038672405,0.426970339681,0.17568,0.14568,0.0,0.0797351444834,2.43038672405,0.426970339681,0.0,606.696919883
20, 01/01  21:00:00,2.23595909318,0.39281329349,0.0,2.23595909318,0.39281329349,0.17568,0.14568,0.0,0.0797351444834,2.23595909318,0.39281329349,0.0,606.696919883
21, 01/01  22:00:00,2.02485545179,0.157533754149,0.0,2.02485545179,0.157533754149,0.0778,0.0478,0.0,0.0797351444834,2.02485545179,0.157533754149,0.0,606.696919883
