,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.00088805867,0.0778690909645,0.0,1.00088805867,0.0778690909645,0.0778,0.0478,0.0,0.0,1.00088805867,0.0778690909645,0.0,570.526008944
1, 01/01  02:00:00,0.849732807059,0.0661092123892,0.0,0.849732807059,0.0661092123892,0.0778,0.0478,0.0,0.0,0.849732807059,0.0661092123892,-1.38777878078e-17,570.526008944
2, 01/01  03:00:00,0.779331126118,0.060631961612,0.0,0.779331126118,0.060631961612,0.0778,0.0478,0.0,0.0,0.779331126118,0.060631961612,0.0,570.526008944
3, 01/01  04:00:00,0.771788057637,0.0600451108842,0.0,0.771788057637,0.0600451108842,0.0778,0.0478,0.0,0.0,0.771788057637,0.0600451108842,-6.93889390391e-18,570.526008944
4, 01/01  05:00:00,0.769768661095,0.0598880018332,0.0,0.769768661095,0.0598880018332,0.0778,0.0478,0.0,0.0,0.769768661095,0.0598880018332,2.08166817117e-17,570.526008944
5, 01/01  06:00:00,0.832099322708,0.0647373273067,0.0,0.832099322708,0.0647373273067,0.0778,0.0478,0.0,0.0,0.832099322708,0.0647373273067,0.0,570.526008944
6, 01/01  07:00:00,1.09810204462,0.0854323390714,0.0,1.09810204462,0.0854323390714,0.0778,0.0478,0.0,0.0,1.09810204462,0.0854323390714,0.0,570.526008944
7, 01/01  08:00:00,1.52995089218,0.119030179412,0.112478,1.41747289218,0.110279391012,0.0778,0.0478,0.0,0.0,1.41747289218,0.110279391012,1.38777878078e-17,570.526008944
8, 01/01  09:00:00,1.45948018749,0.0804027635288,1.090887,0.36859318749,0.0203057986988,0.05509,0.02509,0.0,0.0,0.36859318749,0.0203057986988,0.0,570.526008944
9, 01/01  10:00:00,1.26304038382,0.0695808947446,2.260633,-0.99759261618,-0.02502959874,0.05509,0.02509,-0.99759261618,0.100626325351,0.0,0.0,-0.02502959874,570.526008944
10, 01/01  11:00:00,1.25923808753,0.069371426242,2.892683,-1.63344491247,-0.0409831328539,0.05509,0.02509,-1.63344491247,0.265390535249,0.0,0.0,-0.0409831328539,570.526008944
11, 01/01  12:00:00,1.28995075798,0.0710633872571,3.287906,-1.99795524202,-0.0501286970223,0.05509,0.02509,-1.99795524202,0.466922594487,0.0,0.0,-0.0501286970223,570.526008944
12, 01/01  13:00:00,1.26405762388,0.0696369344995,3.051608,-1.78755037612,-0.0448496389369,0.05509,0.02509,-1.78755037612,0.647231292458,0.0,0.0,-0.0448496389369,570.526008944
13, 01/01  14:00:00,1.20723783717,0.0665067324497,2.867596,-1.66035816283,-0.0416583863054,0.05509,0.02509,-1.66035816283,0.814710219208,0.0,0.0,-0.0416583863054,570.526008944
14, 01/01  15:00:00,1.20153764191,0.0661927086928,2.053356,-0.85181835809,-0.0213721226045,0.05509,0.02509,-0.85181835809,0.900632418161,0.0,0.0,-0.0213721226045,570.526008944
15, 01/01  16:00:00,1.28324616057,0.0706940309858,0.951348,0.33189816057,0.0182842696658,0.05509,0.02509,0.33189816057,0.867154130784,0.0,0.0,0.0182842696658,570.526008944
16, 01/01  17:00:00,1.58977069693,0.279290916037,0.085065,1.50470569693,0.264346696837,0.17568,0.14568,1.50470569693,0.715375736918,-5.55111512313e-17,-8.08686451137e-18,0.264346696837,570.526008944
17, 01/01  18:00:00,2.19420703037,0.385478291095,0.0,2.19420703037,0.385478291095,0.17568,0.14568,2.19420703037,0.494047925401,0.0,0.0,0.385478291095,570.526008944
18, 01/01  19:00:00,2.5874863848,0.454569608082,0.0,2.5874863848,0.454569608082,0.17568,0.14568,2.5874863848,0.233050357281,0.0,0.0,0.454569608082,570.526008944
19, 01/01  20:00:00,2.55653099909,0.44913136592,0.0,2.55653099909,0.44913136592,0.17568,0.14568,2.55653099909,-0.0248247672057,0.0,0.0,0.44913136592,570.526008944
20, 01/01  21:00:00,2.36066117962,0.414720956036,0.0,2.36066117962,0.414720956036,0.17568,0.14568,0.0,-0.0248247672057,2.36066117962,0.414720956036,-5.55111512313e-17,570.526008944
21, 01/01  22:00:00,2.1568248974,0.167800977018,0.0,2.1568248974,0.167800977018,0.0778,0.0478,0.0,-0.0248247672057,2.1568248974,0.167800977018,0.0,570.526008944
22, 01/01  23:00:00,1.78111751516,0.138570942679,0.0,1.78111751516,0.138570942679,0.0778,0.0478,0.0,-0.0248247672057,1.78111751516,0.138570942679,-2.77555756156e-17,570.526008944
23, 01/01  24:00:00,1.40501203298,0.109309936166,0.0,1.40501203298,0.109309936166,0.0778,0.0478,0.0,-0.0248247672057,1.40501203298,0.109309936166,-1.38777878078e-17,570.526008944
24, 01/02  01:00:00,1.03002394642,0.0801358630315,0.0,1.03002394642,0.0801358630315,0.0778,0.0478,0.0,-0.0248247672057,1.03002394642,0.0801358630315,0.0,570.526008944
25, 01/02  02:00:00,0.891910595829,0.0693906443555,0.0,0.891910595829,0.0693906443555,0.0778,0.0478,0.0,-0.0248247672057,0.891910595829,0.0693906443555,0.0,570.526008944
26, 01/02  03:00:00,0.84283729992,0.0655727419338,0.0,0.84283729992,0.0655727419338,0.0778,0.0478,0.0,-0.0248247672057,0.84283729992,0.0655727419338,0.0,570.526008944
27, 01/02  04:00:00,0.830301541409,0.0645974599216,0.0,0.830301541409,0.0645974599216,0.0778,0.0478,0.0,-0.0248247672057,0.830301541409,0.0645974599216,0.0,570.526008944
28, 01/02  05:00:00,0.831364962911,0.0646801941145,0.0,0.831364962911,0.0646801941145,0.0778,0.0478,0.0,-0.0248247672057,0.831364962911,0.0646801941145,0.0,570.526008944
29, 01/02  06:00:00,0.889595326394,0.0692105163935,0.0,0.889595326394,0.0692105163935,0.0778,0.0478,0.0,-0.0248247672057,0.889595326394,0.0692105163935,1.38777878078e-17,570.526008944
30, 01/02  07:00:00,1.15253177678,0.0896669722335,0.0,1.15253177678,0.0896669722335,0.0778,0.0478,0.0,-0.0248247672057,1.15253177678,0.0896669722335,-1.38777878078e-17,570.526008944
31, 01/02  08:00:00,1.53886261409,0.119723511376,0.046315,1.49254761409,0.116120204376,0.0778,0.0478,0.0,-0.0248247672057,1.49254761409,0.116120204376,2.77555756156e-17,570.526008944
32, 01/02  09:00:00,1.45601075866,0.0802116326946,0.930234,0.52577675866,0.0289650416346,0.05509,0.02509,0.0,-0.0248247672057,0.52577675866,0.0289650416346,3.46944695195e-18,570.526008944
33, 01/02  10:00:00,1.23244786156,0.0678955526933,1.072846,0.15960186156,0.00879246655334,0.05509,0.02509,0.0,-0.0248247672057,0.15960186156,0.00879246655334,0.0,570.526008944
34, 01/02  11:00:00,1.21600419505,0.0669896711053,1.782032,-0.56602780495,-0.0142016376262,0.05509,0.02509,-0.56602780495,0.032269979823,0.0,0.0,-0.0142016376262,570.526008944
