,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.27191552786,0.0989550280675,0.0,1.27191552786,0.0989550280675,0.0778,0.0478,0.0,0.0,1.27191552786,0.0989550280675,0.0,542.165672777
1, 01/01  02:00:00,1.08561338993,0.0844607217366,0.0,1.08561338993,0.0844607217366,0.0778,0.0478,0.0,0.0,1.08561338993,0.0844607217366,-1.38777878078e-17,542.165672777
2, 01/01  03:00:00,1.07663650727,0.0837623202656,0.0,1.07663650727,0.0837623202656,0.0778,0.0478,0.0,0.0,1.07663650727,0.0837623202656,0.0,542.165672777
3, 01/01  04:00:00,1.04408428704,0.0812297575317,0.0,1.04408428704,0.0812297575317,0.0778,0.0478,0.0,0.0,1.04408428704,0.0812297575317,0.0,542.165672777
4, 01/01  05:00:00,1.04304426357,0.0811488437057,0.0,1.04304426357,0.0811488437057,0.0778,0.0478,0.0,0.0,1.04304426357,0.0811488437057,1.38777878078e-17,542.165672777
5, 01/01  06:00:00,1.13416451959,0.0882379996241,0.0,1.13416451959,0.0882379996241,0.0778,0.0478,0.0,0.0,1.13416451959,0.0882379996241,-4.16333634234e-17,542.165672777
6, 01/01  07:00:00,1.44449867345,0.112381996794,0.0,1.44449867345,0.112381996794,0.0778,0.0478,0.0,0.0,1.44449867345,0.112381996794,0.0,542.165672777
7, 01/01  08:00:00,1.97894266798,0.153961739569,0.0,1.97894266798,0.153961739569,0.0778,0.0478,0.0,0.0,1.97894266798,0.153961739569,-2.77555756156e-17,542.165672777
8, 01/01  09:00:00,1.83974728571,0.10135167797,0.388909,1.45083828571,0.0799266811598,0.05509,0.02509,0.0,0.0,1.45083828571,0.0799266811598,-1.38777878078e-17,542.165672777
9, 01/01  10:00:00,1.49079199352,0.082127730923,0.318149,1.17264299352,0.064600902513,0.05509,0.02509,0.0,0.0,1.17264299352,0.064600902513,0.0,542.165672777
10, 01/01  11:00:00,1.5042031899,0.0828665537316,0.844726,0.6594771899,0.0363305983916,0.05509,0.02509,0.0,0.0,0.6594771899,0.0363305983916,1.38777878078e-17,542.165672777
11, 01/01  12:00:00,1.4793284633,0.0814962050432,0.722496,0.7568324633,0.0416939004032,0.05509,0.02509,0.0,0.0,0.7568324633,0.0416939004032,6.93889390391e-18,542.165672777
12, 01/01  13:00:00,1.39617182434,0.0769151058029,0.462285,0.93388682434,0.0514478251529,0.05509,0.02509,0.0,0.0,0.93388682434,0.0514478251529,-6.93889390391e-18,542.165672777
13, 01/01  14:00:00,1.39120950024,0.0766417313682,1.083039,0.30817050024,0.0169771128582,0.05509,0.02509,0.0,0.0,0.30817050024,0.0169771128582,-1.38777878078e-17,542.165672777
14, 01/01  15:00:00,1.3511529041,0.0744350134869,0.865228,0.4859249041,0.0267696029669,0.05509,0.02509,0.0,0.0,0.4859249041,0.0267696029669,-3.46944695195e-18,542.165672777
15, 01/01  16:00:00,1.43956118526,0.079305425696,0.994751,0.44481018526,0.024504593106,0.05509,0.02509,0.0,0.0,0.44481018526,0.024504593106,-3.46944695195e-18,542.165672777
16, 01/01  17:00:00,1.84416957392,0.323983710746,0.120625,1.72354457392,0.302792310746,0.17568,0.14568,0.0,0.0,1.72354457392,0.302792310746,0.0,542.165672777
17, 01/01  18:00:00,2.58234862938,0.453667007209,0.0,2.58234862938,0.453667007209,0.17568,0.14568,0.0,0.0,2.58234862938,0.453667007209,-5.55111512313e-17,542.165672777
18, 01/01  19:00:00,3.13164389538,0.55016719954,0.0,3.13164389538,0.55016719954,0.17568,0.14568,0.0,0.0,3.13164389538,0.55016719954,0.0,542.165672777
19, 01/01  20:00:00,3.14067144298,0.551753159103,0.0,3.14067144298,0.551753159103,0.17568,0.14568,0.0,0.0,3.14067144298,0.551753159103,0.0,542.165672777
20, 01/01  21:00:00,2.90174858642,0.509779191662,0.0,2.90174858642,0.509779191662,0.17568,0.14568,0.0,0.0,2.90174858642,0.509779191662,0.0,542.165672777
21, 01/01  22:00:00,2.66153279456,0.207067251417,0.0,2.66153279456,0.207067251417,0.0778,0.0478,0.0,0.0,2.66153279456,0.207067251417,2.77555756156e-17,542.165672777
22, 01/01  23:00:00,2.21774825817,0.172540814486,0.0,2.21774825817,0.172540814486,0.0778,0.0478,0.0,0.0,2.21774825817,0.172540814486,-2.77555756156e-17,542.165672777
