,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.02188238273,0.0795024493764,0.0,1.02188238273,0.0795024493764,0.0778,0.0478,0.0,0.0,1.02188238273,0.0795024493764,-1.38777878078e-17,450.639219427
1, 01/01  02:00:00,0.865212518062,0.0673135339052,0.0,0.865212518062,0.0673135339052,0.0778,0.0478,0.0,0.0,0.865212518062,0.0673135339052,0.0,450.639219427
2, 01/01  03:00:00,0.819616410559,0.0637661567415,0.0,0.819616410559,0.0637661567415,0.0778,0.0478,0.0,0.0,0.819616410559,0.0637661567415,1.38777878078e-17,450.639219427
3, 01/01  04:00:00,0.805701516169,0.0626835779579,0.0,0.805701516169,0.0626835779579,0.0778,0.0478,0.0,0.0,0.805701516169,0.0626835779579,0.0,450.639219427
4, 01/01  05:00:00,0.810039794585,0.0630210960187,0.0,0.810039794585,0.0630210960187,0.0778,0.0478,0.0,0.0,0.810039794585,0.0630210960187,1.38777878078e-17,450.639219427
5, 01/01  06:00:00,0.869037820495,0.0676111424345,0.0,0.869037820495,0.0676111424345,0.0778,0.0478,0.0,0.0,0.869037820495,0.0676111424345,0.0,450.639219427
6, 01/01  07:00:00,1.17997974899,0.0918024244714,0.0,1.17997974899,0.0918024244714,0.0778,0.0478,0.0,0.0,1.17997974899,0.0918024244714,1.38777878078e-17,450.639219427
7, 01/01  08:00:00,1.60312884745,0.124723424332,0.028159,1.57496984745,0.122532654132,0.0778,0.0478,0.0,0.0,1.57496984745,0.122532654132,1.38777878078e-17,450.639219427
8, 01/01  09:00:00,1.48293301089,0.0816947795699,0.902662,0.58027101089,0.0319671299899,0.05509,0.02509,0.0,0.0,0.58027101089,0.0319671299899,-6.93889390391e-18,450.639219427
9, 01/01  10:00:00,1.21444478792,0.0669037633665,1.963136,-0.74869121208,-0.0187846625111,0.05509,0.02509,-0.74869121208,0.0755198507609,0.0,0.0,-0.0187846625111,450.639219427
10, 01/01  11:00:00,1.21016339527,0.0666679014454,2.763689,-1.55352560473,-0.0389779574227,0.05509,0.02509,-1.55352560473,0.232222667529,0.0,0.0,-0.0389779574227,450.639219427
11, 01/01  12:00:00,1.19803211446,0.0659995891856,3.127701,-1.92966888554,-0.0484153923382,0.05509,0.02509,-1.92966888554,0.426866739614,0.0,0.0,-0.0484153923382,450.639219427
12, 01/01  13:00:00,1.1564673897,0.0637097884986,3.16845,-2.0119826103,-0.0504806436924,0.05509,0.02509,-2.0119826103,0.629813727654,0.0,0.0,-0.0504806436924,450.639219427
13, 01/01  14:00:00,1.13094458119,0.0623037369778,2.941943,-1.81099841881,-0.0454379503279,0.05509,0.02509,-1.81099841881,0.812487609904,0.0,0.0,-0.0454379503279,450.639219427
14, 01/01  15:00:00,1.13140503094,0.0623291031545,2.319317,-1.18791196906,-0.0298047113037,0.05509,0.02509,-1.18791196906,0.932311287774,0.0,0.0,-0.0298047113037,450.639219427
15, 01/01  16:00:00,1.21664948672,0.0670252202234,1.506606,-0.28995651328,-0.0072750089182,0.05509,0.02509,-0.28995651328,0.961558956581,0.0,0.0,-0.0072750089182,450.639219427
16, 01/01  17:00:00,1.5394156178,0.270444535735,0.295357,1.2440586178,0.218556217975,0.17568,0.14568,1.2440586178,0.836071813634,5.55111512313e-17,9.75219904831e-18,0.218556217975,450.639219427
17, 01/01  18:00:00,2.17246611938,0.381658847853,0.0,2.17246611938,0.381658847853,0.17568,0.14568,2.17246611938,0.616936989461,0.0,0.0,0.381658847853,450.639219427
18, 01/01  19:00:00,2.60609990383,0.457839631105,0.0,2.60609990383,0.457839631105,0.17568,0.14568,2.60609990383,0.354061891384,0.0,0.0,0.457839631105,450.639219427
19, 01/01  20:00:00,2.58228330328,0.45365553072,0.0,2.58228330328,0.45365553072,0.17568,0.14568,2.58228330328,0.0935891537055,0.0,0.0,0.45365553072,450.639219427
20, 01/01  21:00:00,2.38922690397,0.419739382489,0.0,2.38922690397,0.419739382489,0.17568,0.14568,0.0,0.0935891537055,2.38922690397,0.419739382489,0.0,450.639219427
21, 01/01  22:00:00,2.19035529089,0.170409641631,0.0,2.19035529089,0.170409641631,0.0778,0.0478,0.0,0.0935891537055,2.19035529089,0.170409641631,0.0,450.639219427
22, 01/01  23:00:00,1.8013352852,0.140143885189,0.0,1.8013352852,0.140143885189,0.0778,0.0478,0.0,0.0935891537055,1.8013352852,0.140143885189,0.0,450.639219427
23, 01/01  24:00:00,1.40859060388,0.109588348982,0.0,1.40859060388,0.109588348982,0.0778,0.0478,0.0,0.0935891537055,1.40859060388,0.109588348982,0.0,450.639219427
24, 01/02  01:00:00,1.02298406476,0.0795881602383,0.0,1.02298406476,0.0795881602383,0.0778,0.0478,0.0,0.0935891537055,1.02298406476,0.0795881602383,1.38777878078e-17,450.639219427
25, 01/02  02:00:00,0.873292092813,0.0679421248209,0.0,0.873292092813,0.0679421248209,0.0778,0.0478,0.0,0.0935891537055,0.873292092813,0.0679421248209,1.38777878078e-17,450.639219427
26, 01/02  03:00:00,0.798209055181,0.0621006644931,0.0,0.798209055181,0.0621006644931,0.0778,0.0478,0.0,0.0935891537055,0.798209055181,0.0621006644931,6.93889390391e-18,450.639219427
27, 01/02  04:00:00,0.795491636358,0.0618892493087,0.0,0.795491636358,0.0618892493087,0.0778,0.0478,0.0,0.0935891537055,0.795491636358,0.0618892493087,6.93889390391e-18,450.639219427
28, 01/02  05:00:00,0.795082024568,0.0618573815114,0.0,0.795082024568,0.0618573815114,0.0778,0.0478,0.0,0.0935891537055,0.795082024568,0.0618573815114,0.0,450.639219427
29, 01/02  06:00:00,0.856401525907,0.0666280387156,0.0,0.856401525907,0.0666280387156,0.0778,0.0478,0.0,0.0935891537055,0.856401525907,0.0666280387156,0.0,450.639219427
30, 01/02  07:00:00,1.12169362251,0.0872677638313,0.0,1.12169362251,0.0872677638313,0.0778,0.0478,0.0,0.0935891537055,1.12169362251,0.0872677638313,0.0,450.639219427
31, 01/02  08:00:00,1.52314282908,0.118500512102,0.03257,1.49057282908,0.115966566102,0.0778,0.0478,0.0,0.0935891537055,1.49057282908,0.115966566102,1.38777878078e-17,450.639219427
32, 01/02  09:00:00,1.46088315296,0.0804800528966,0.902002,0.55888115296,0.0307887627166,0.05509,0.02509,0.0,0.0935891537055,0.55888115296,0.0307887627166,1.04083408559e-17,450.639219427
33, 01/02  10:00:00,1.22061204595,0.0672435176114,2.031035,-0.81042295405,-0.0203335119171,0.05509,0.02509,-0.81042295405,0.175335833185,0.0,0.0,-0.0203335119171,450.639219427
34, 01/02  11:00:00,1.21439010342,0.0669007507974,2.478542,-1.26415189658,-0.0317175710852,0.05509,0.02509,-1.26415189658,0.302849768207,0.0,0.0,-0.0317175710852,450.639219427
35, 01/02  12:00:00,1.22385877165,0.0674223797302,3.027895,-1.80403622835,-0.0452632689693,0.05509,0.02509,-1.80403622835,0.48482138018,0.0,0.0,-0.0452632689693,450.639219427
36, 01/02  13:00:00,1.19663042448,0.0659223700846,2.936052,-1.73942157552,-0.0436420873298,0.05509,0.02509,-1.73942157552,0.660275366649,0.0,0.0,-0.0436420873298,450.639219427
37, 01/02  14:00:00,1.16746806133,0.0643158154987,2.7239,-1.55643193867,-0.0390508773412,0.05509,0.02509,-1.55643193867,0.817271342869,0.0,0.0,-0.0390508773412,450.639219427
38, 01/02  15:00:00,1.17240898575,0.064588011025,1.927787,-0.75537801425,-0.0189524343775,0.05509,0.02509,-0.75537801425,0.893465685722,0.0,0.0,-0.0189524343775,450.639219427
39, 01/02  16:00:00,1.25932789131,0.0693763735323,1.322628,-0.06330010869,-0.00158819972703,0.05509,0.02509,-0.06330010869,0.899850714268,0.0,0.0,-0.00158819972703,450.639219427
40, 01/02  17:00:00,1.58173527204,0.277879252592,0.264182,1.31755327204,0.231467758832,0.17568,0.14568,1.31755327204,0.766950227567,-1.11022302463e-16,-1.61737290227e-17,0.231467758832,450.639219427
41, 01/02  18:00:00,2.19770902586,0.386093521663,0.0,2.19770902586,0.386093521663,0.17568,0.14568,2.19770902586,0.54526917272,0.0,0.0,0.386093521663,450.639219427
42, 01/02  19:00:00,2.61589520076,0.45956046887,0.0,2.61589520076,0.45956046887,0.17568,0.14568,2.61589520076,0.281406031307,0.0,0.0,0.45956046887,450.639219427
43, 01/02  20:00:00,2.58489487495,0.454114331631,0.0,2.58489487495,0.454114331631,0.17568,0.14568,2.58489487495,0.0206698665986,0.0,0.0,0.454114331631,450.639219427
44, 01/02  21:00:00,2.38881405521,0.419666853219,0.0,2.38881405521,0.419666853219,0.17568,0.14568,0.0,0.0206698665986,2.38881405521,0.419666853219,0.0,450.639219427
45, 01/02  22:00:00,2.17643250887,0.16932644919,0.0,2.17643250887,0.16932644919,0.0778,0.0478,0.0,0.0206698665986,2.17643250887,0.16932644919,0.0,450.639219427
46, 01/02  23:00:00,1.78745943366,0.139064343939,0.0,1.78745943366,0.139064343939,0.0778,0.0478,0.0,0.0206698665986,1.78745943366,0.139064343939,2.77555756156e-17,450.639219427
47, 01/02  24:00:00,1.40987217004,0.109688054829,0.0,1.40987217004,0.109688054829,0.0778,0.0478,0.0,0.0206698665986,1.40987217004,0.109688054829,0.0,450.639219427
48, 01/03  01:00:00,1.03461739042,0.0804932329747,0.0,1.03461739042,0.0804932329747,0.0778,0.0478,0.0,0.0206698665986,1.03461739042,0.0804932329747,0.0,450.639219427
49, 01/03  02:00:00,0.88459867306,0.0688217767641,0.0,0.88459867306,0.0688217767641,0.0778,0.0478,0.0,0.0206698665986,0.88459867306,0.0688217767641,1.38777878078e-17,450.639219427
50, 01/03  03:00:00,0.831029789672,0.0646541176365,0.0,0.831029789672,0.0646541176365,0.0778,0.0478,0.0,0.0206698665986,0.831029789672,0.0646541176365,0.0,450.639219427
51, 01/03  04:00:00,0.824079610101,0.0641133936659,0.0,0.824079610101,0.0641133936659,0.0778,0.0478,0.0,0.0206698665986,0.824079610101,0.0641133936659,2.77555756156e-17,450.639219427
52, 01/03  05:00:00,0.825163464551,0.0641977175421,0.0,0.825163464551,0.0641977175421,0.0778,0.0478,0.0,0.0206698665986,0.825163464551,0.0641977175421,0.0,450.639219427
53, 01/03  06:00:00,0.88784370677,0.0690742403867,0.0,0.88784370677,0.0690742403867,0.0778,0.0478,0.0,0.0206698665986,0.88784370677,0.0690742403867,0.0,450.639219427
54, 01/03  07:00:00,1.15622541356,0.089954337175,0.0,1.15622541356,0.089954337175,0.0778,0.0478,0.0,0.0206698665986,1.15622541356,0.089954337175,0.0,450.639219427
55, 01/03  08:00:00,1.58685804521,0.123457555917,0.031549,1.55530904521,0.121003043717,0.0778,0.0478,0.0,0.0206698665986,1.55530904521,0.121003043717,1.38777878078e-17,450.639219427
56, 01/03  09:00:00,1.4718410362,0.0810837226843,0.919802,0.5520390362,0.0304118305043,0.05509,0.02509,0.0,0.0206698665986,0.5520390362,0.0304118305043,3.46944695195e-18,450.639219427
57, 01/03  10:00:00,1.21917568433,0.0671643884497,1.862068,-0.64289231567,-0.0161301682002,0.05509,0.02509,-0.64289231567,0.0855178719597,0.0,0.0,-0.0161301682002,450.639219427
58, 01/03  11:00:00,1.18714015411,0.0653995510899,2.61446,-1.42731984589,-0.0358114549334,0.05509,0.02509,-1.42731984589,0.229490420335,0.0,0.0,-0.0358114549334,450.639219427
59, 01/03  12:00:00,1.1740121072,0.0646763269856,3.115408,-1.9413958928,-0.0487096229504,0.05509,0.02509,-1.9413958928,0.425317385747,0.0,0.0,-0.0487096229504,450.639219427
60, 01/03  13:00:00,1.14746049838,0.0632135988558,3.127604,-1.98014350162,-0.0496818004556,0.05509,0.02509,-1.98014350162,0.625052789762,0.0,0.0,-0.0496818004556,450.639219427
61, 01/03  14:00:00,1.09688847786,0.0604275862453,2.935727,-1.83883852214,-0.0461364585205,0.05509,0.02509,-1.83883852214,0.810534879741,0.0,0.0,-0.0461364585205,450.639219427
62, 01/03  15:00:00,1.11138170415,0.0612260180816,2.165329,-1.05394729585,-0.0264435376529,0.05509,0.02509,-1.05394729585,0.916845654074,0.0,0.0,-0.0264435376529,450.639219427
63, 01/03  16:00:00,1.18934983359,0.0655212823325,1.464393,-0.27504316641,-0.00690083304523,0.05509,0.02509,-0.27504316641,0.944589026168,0.0,0.0,-0.00690083304523,450.639219427
64, 01/03  17:00:00,1.52942569179,0.268689505534,0.0,1.52942569179,0.268689505534,0.17568,0.14568,1.52942569179,0.790317147281,0.0,0.0,0.268689505534,450.639219427
65, 01/03  18:00:00,2.15125954211,0.377933276358,0.0,2.15125954211,0.377933276358,0.17568,0.14568,2.15125954211,0.573321412662,0.0,0.0,0.377933276358,450.639219427
66, 01/03  19:00:00,2.58422032359,0.453995826448,0.0,2.58422032359,0.453995826448,0.17568,0.14568,2.58422032359,0.31265328938,0.0,0.0,0.453995826448,450.639219427
67, 01/03  20:00:00,2.56442647604,0.450518443311,0.0,2.56442647604,0.450518443311,0.17568,0.14568,2.56442647604,0.0539817547962,0.0,0.0,0.450518443311,450.639219427
68, 01/03  21:00:00,2.37780301443,0.417732433575,0.0,2.37780301443,0.417732433575,0.17568,0.14568,0.0,0.0539817547962,2.37780301443,0.417732433575,0.0,450.639219427
69, 01/03  22:00:00,2.16058352118,0.168093397948,0.0,2.16058352118,0.168093397948,0.0778,0.0478,0.0,0.0539817547962,2.16058352118,0.168093397948,0.0,450.639219427
70, 01/03  23:00:00,1.77749252559,0.138288918491,0.0,1.77749252559,0.138288918491,0.0778,0.0478,0.0,0.0539817547962,1.77749252559,0.138288918491,-5.55111512313e-17,450.639219427
