,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.10353418738,0.0858549597782,0.0,1.10353418738,0.0858549597782,0.0778,0.0478,0.0,0.0,1.10353418738,0.0858549597782,0.0,424.246735179
1, 01/01  02:00:00,0.979505296021,0.0762055120304,0.0,0.979505296021,0.0762055120304,0.0778,0.0478,0.0,0.0,0.979505296021,0.0762055120304,-1.38777878078e-17,424.246735179
2, 01/01  03:00:00,0.93627894924,0.0728425022509,0.0,0.93627894924,0.0728425022509,0.0778,0.0478,0.0,0.0,0.93627894924,0.0728425022509,-1.38777878078e-17,424.246735179
3, 01/01  04:00:00,0.930306915493,0.0723778780254,0.0,0.930306915493,0.0723778780254,0.0778,0.0478,0.0,0.0,0.930306915493,0.0723778780254,0.0,424.246735179
4, 01/01  05:00:00,0.932782163703,0.0725704523361,0.0,0.932782163703,0.0725704523361,0.0778,0.0478,0.0,0.0,0.932782163703,0.0725704523361,-2.77555756156e-17,424.246735179
5, 01/01  06:00:00,0.936598334981,0.0728673504615,0.0,0.936598334981,0.0728673504615,0.0778,0.0478,0.0,0.0,0.936598334981,0.0728673504615,0.0,424.246735179
6, 01/01  07:00:00,1.26750105337,0.0986115819522,0.0,1.26750105337,0.0986115819522,0.0778,0.0478,0.0,0.0,1.26750105337,0.0986115819522,-1.38777878078e-17,424.246735179
7, 01/01  08:00:00,1.60846510334,0.12513858504,0.0,1.60846510334,0.12513858504,0.0778,0.0478,0.0,0.0,1.60846510334,0.12513858504,0.0,424.246735179
8, 01/01  09:00:00,1.55175564939,0.0854862187249,0.138292,1.41346364939,0.0778677124449,0.05509,0.02509,0.0,0.0,1.41346364939,0.0778677124449,-1.38777878078e-17,424.246735179
9, 01/01  10:00:00,1.24499454785,0.0685867496411,1.262872,-0.01787745215,-0.000448545274444,0.05509,0.02509,-0.01787745215,0.00180328351204,0.0,0.0,-0.000448545274444,424.246735179
10, 01/01  11:00:00,1.2053589332,0.06640322363,0.599756,0.6056029332,0.03336266559,0.05509,0.02509,0.0,0.00180328351204,0.6056029332,0.03336266559,0.0,424.246735179
11, 01/01  12:00:00,1.1880306899,0.0654486107066,0.728597,0.4594336899,0.0253102019766,0.05509,0.02509,0.0,0.00180328351204,0.4594336899,0.0253102019766,0.0,424.246735179
12, 01/01  13:00:00,1.1480548036,0.0632463391303,1.330252,-0.1821971964,-0.00457132765768,0.05509,0.02509,-0.1821971964,0.0201813609613,0.0,0.0,-0.00457132765768,424.246735179
13, 01/01  14:00:00,1.09981900579,0.060589029029,0.894694,0.20512500579,0.011300336569,0.05509,0.02509,0.0,0.0201813609613,0.20512500579,0.011300336569,5.20417042793e-18,424.246735179
14, 01/01  15:00:00,1.0793460446,0.059461173597,0.39999,0.6793560446,0.037425724497,0.05509,0.02509,0.0,0.0201813609613,0.6793560446,0.037425724497,6.93889390391e-18,424.246735179
15, 01/01  16:00:00,1.16951933243,0.0644288200236,0.170976,0.99854333243,0.0550097521836,0.05509,0.02509,0.0,0.0201813609613,0.99854333243,0.0550097521836,0.0,424.246735179
16, 01/01  17:00:00,1.52312605364,0.267582785103,0.049102,1.47402405364,0.258956545743,0.17568,0.14568,0.0,0.0201813609613,1.47402405364,0.258956545743,0.0,424.246735179
17, 01/01  18:00:00,2.17172826601,0.381529221773,0.0,2.17172826601,0.381529221773,0.17568,0.14568,0.0,0.0201813609613,2.17172826601,0.381529221773,0.0,424.246735179
18, 01/01  19:00:00,2.64802483463,0.465205002948,0.0,2.64802483463,0.465205002948,0.17568,0.14568,0.0,0.0201813609613,2.64802483463,0.465205002948,-5.55111512313e-17,424.246735179
19, 01/01  20:00:00,2.63297148126,0.462560429828,0.0,2.63297148126,0.462560429828,0.17568,0.14568,0.0,0.0201813609613,2.63297148126,0.462560429828,5.55111512313e-17,424.246735179
20, 01/01  21:00:00,2.44105894732,0.428845235865,0.0,2.44105894732,0.428845235865,0.17568,0.14568,0.0,0.0201813609613,2.44105894732,0.428845235865,-1.66533453694e-16,424.246735179
21, 01/01  22:00:00,2.23690476277,0.174031190544,0.0,2.23690476277,0.174031190544,0.0778,0.0478,0.0,0.0201813609613,2.23690476277,0.174031190544,0.0,424.246735179
22, 01/01  23:00:00,1.86805568525,0.145334732312,0.0,1.86805568525,0.145334732312,0.0778,0.0478,0.0,0.0201813609613,1.86805568525,0.145334732312,0.0,424.246735179
23, 01/01  24:00:00,1.49418097282,0.116247279685,0.0,1.49418097282,0.116247279685,0.0778,0.0478,0.0,0.0201813609613,1.49418097282,0.116247279685,-1.38777878078e-17,424.246735179
24, 01/02  01:00:00,1.09362543647,0.0850840589574,0.0,1.09362543647,0.0850840589574,0.0778,0.0478,0.0,0.0201813609613,1.09362543647,0.0850840589574,0.0,424.246735179
25, 01/02  02:00:00,0.969060846005,0.0753929338192,0.0,0.969060846005,0.0753929338192,0.0778,0.0478,0.0,0.0201813609613,0.969060846005,0.0753929338192,0.0,424.246735179
26, 01/02  03:00:00,0.919506094711,0.0715375741685,0.0,0.919506094711,0.0715375741685,0.0778,0.0478,0.0,0.0201813609613,0.919506094711,0.0715375741685,0.0,424.246735179
27, 01/02  04:00:00,0.87011193819,0.0676947087912,0.0,0.87011193819,0.0676947087912,0.0778,0.0478,0.0,0.0201813609613,0.87011193819,0.0676947087912,0.0,424.246735179
28, 01/02  05:00:00,0.860796450405,0.0669699638415,0.0,0.860796450405,0.0669699638415,0.0778,0.0478,0.0,0.0201813609613,0.860796450405,0.0669699638415,1.38777878078e-17,424.246735179
29, 01/02  06:00:00,0.945615983459,0.0735689235131,0.0,0.945615983459,0.0735689235131,0.0778,0.0478,0.0,0.0201813609613,0.945615983459,0.0735689235131,-1.38777878078e-17,424.246735179
30, 01/02  07:00:00,1.20415990135,0.093683640325,0.0,1.20415990135,0.093683640325,0.0778,0.0478,0.0,0.0201813609613,1.20415990135,0.093683640325,0.0,424.246735179
31, 01/02  08:00:00,1.62861583645,0.126706312076,0.018106,1.61050983645,0.125297665276,0.0778,0.0478,0.0,0.0201813609613,1.61050983645,0.125297665276,0.0,424.246735179
