,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,chargesolar,grid,highsolar,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0,0,1.54306969194,0.228055454486,0.0,1.54306969194,0.228055454486,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.54306969194,0.228055454486,2.77555756156e-17,1.22115373041
1,1,1.27435109464,0.188340630097,0.0,1.27435109464,0.188340630097,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.27435109464,0.188340630097,0.0,1.22115373041
2,2,1.18378163502,0.174955065346,0.0,1.18378163502,0.174955065346,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.18378163502,0.174955065346,2.77555756156e-17,1.22115373041
3,3,1.16552859572,0.172257387338,0.0,1.16552859572,0.172257387338,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.16552859572,0.172257387338,2.77555756156e-17,1.22115373041
4,4,1.23828758286,0.183010682517,0.0,1.23828758286,0.183010682517,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.23828758286,0.183010682517,2.77555756156e-17,1.22115373041
5,5,1.55274159516,0.22948489756,0.0,1.55274159516,0.22948489756,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,1.55274159516,0.22948489756,-2.77555756156e-17,1.22115373041
6,6,2.29911167165,0.339793438968,0.0,2.29911167165,0.339793438968,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,2.29911167165,0.339793438968,0.0,1.22115373041
7,7,2.90711834138,0.42965278759,0.0,2.90711834138,0.42965278759,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,2.90711834138,0.42965278759,0.0,1.22115373041
8,8,2.7873160993,0.411946811698,0.743649,2.0436670993,0.302040427327,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,2.0436670993,0.302040427327,0.0,1.22115373041
9,9,2.40051294403,0.354779873722,1.93662,0.46389294403,0.0685602968785,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,0.46389294403,0.0685602968785,4.16333634234e-17,1.22115373041
10,10,2.23821228342,0.33079291376,2.646604,-0.40839171658,-0.0603575839895,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,-0.40839171658,-0.0603575839895,6.24500451352e-17,1.22115373041
11,11,2.12997149478,0.314795643918,2.896677,-0.76670550522,-0.113313982747,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,-0.76670550522,-0.113313982747,0.0,1.22115373041
12,12,2.01630356387,0.297996278484,3.21152,-1.19521643613,-0.176645053023,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,-1.19521643613,-0.176645053023,-2.77555756156e-17,1.22115373041
13,13,1.95271715694,0.288598629754,2.89227,-0.93955284306,-0.138859671573,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,-0.93955284306,-0.138859671573,5.55111512313e-17,1.22115373041
14,14,1.9139329115,0.282866575805,2.129374,-0.2154410885,-0.0318407623515,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,-0.2154410885,-0.0318407623515,1.04083408559e-16,1.22115373041
15,15,2.00699089579,0.296619927978,1.1521,0.85489089579,0.126347197922,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,0.85489089579,0.126347197922,0.0,1.22115373041
16,16,2.49958881188,0.369422629126,0.156185,2.34340381188,0.346339523195,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,2.34340381188,0.346339523195,0.0,1.22115373041
17,17,3.3665609221,0.497555350322,0.0,3.3665609221,0.497555350322,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,3.3665609221,0.497555350322,0.0,1.22115373041
18,18,3.98114383798,0.588386624458,0.0,3.98114383798,0.588386624458,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,3.98114383798,0.588386624458,0.0,1.22115373041
19,19,4.04116327365,0.597257098521,0.0,4.04116327365,0.597257098521,0.14779336,0.14779336,0.0,0.0,0.0,0.0,0.0,4.04116327365,0.597257098521,0.0,1.22115373041
