,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.995215083742,0.0774277335151,0.0,0.995215083742,0.0774277335151,0.0778,0.0478,0.0,0.0,0.995215083742,0.0774277335151,0.0,509.281158066
1, 01/01  02:00:00,0.851670505632,0.0662599653382,0.0,0.851670505632,0.0662599653382,0.0778,0.0478,0.0,0.0,0.851670505632,0.0662599653382,1.38777878078e-17,509.281158066
2, 01/01  03:00:00,0.80779037212,0.0628460909509,0.0,0.80779037212,0.0628460909509,0.0778,0.0478,0.0,0.0,0.80779037212,0.0628460909509,1.38777878078e-17,509.281158066
3, 01/01  04:00:00,0.801241990521,0.0623366268625,0.0,0.801241990521,0.0623366268625,0.0778,0.0478,0.0,0.0,0.801241990521,0.0623366268625,-6.93889390391e-18,509.281158066
4, 01/01  05:00:00,0.820600033296,0.0638426825904,0.0,0.820600033296,0.0638426825904,0.0778,0.0478,0.0,0.0,0.820600033296,0.0638426825904,1.38777878078e-17,509.281158066
5, 01/01  06:00:00,0.887870604853,0.0690763330576,0.0,0.887870604853,0.0690763330576,0.0778,0.0478,0.0,0.0,0.887870604853,0.0690763330576,1.38777878078e-17,509.281158066
6, 01/01  07:00:00,1.15425243638,0.0898008395504,0.0,1.15425243638,0.0898008395504,0.0778,0.0478,0.0,0.0,1.15425243638,0.0898008395504,0.0,509.281158066
7, 01/01  08:00:00,1.56658465197,0.121880285923,0.293762,1.27282265197,0.0990256023233,0.0778,0.0478,0.0,0.0,1.27282265197,0.0990256023233,0.0,509.281158066
8, 01/01  09:00:00,1.49972191317,0.0826196801965,1.391935,0.10778691317,0.00593798104654,0.05509,0.02509,0.0,0.0,0.10778691317,0.00593798104654,1.21430643318e-17,509.281158066
9, 01/01  10:00:00,1.25101810333,0.0689185873124,2.24342,-0.99240189667,-0.0248993635875,0.05509,0.02509,-0.99240189667,0.100102741854,0.0,0.0,-0.0248993635875,509.281158066
10, 01/01  11:00:00,1.19701124733,0.0659433496154,2.709974,-1.51296275267,-0.0379602354645,0.05509,0.02509,-1.51296275267,0.252714017965,0.0,0.0,-0.0379602354645,509.281158066
11, 01/01  12:00:00,1.16467056708,0.0641617015404,3.038651,-1.87398043292,-0.047018169062,0.05509,0.02509,-1.87398043292,0.441740842829,0.0,0.0,-0.047018169062,509.281158066
12, 01/01  13:00:00,1.1170158424,0.0615364027578,3.250112,-2.1330961576,-0.0535193825942,0.05509,0.02509,-2.1330961576,0.65690445218,0.0,0.0,-0.0535193825942,509.281158066
13, 01/01  14:00:00,1.08736490131,0.0599029324132,3.142639,-2.05527409869,-0.0515668271361,0.05509,0.02509,-2.05527409869,0.864218216121,0.0,0.0,-0.0515668271361,509.281158066
14, 01/01  15:00:00,1.07218042133,0.0590664194111,2.355454,-1.28327357867,-0.0321973340888,0.05509,0.02509,-1.28327357867,0.993660939079,0.0,0.0,-0.0321973340888,509.281158066
15, 01/01  16:00:00,1.15948438567,0.0638759948066,1.596484,-0.43699961433,-0.0109643203235,0.05509,0.02509,-0.43699961433,1.0377407214,0.0,0.0,-0.0109643203235,509.281158066
16, 01/01  17:00:00,1.49053558142,0.261857290944,0.284638,1.20589758142,0.211852087104,0.17568,0.14568,1.20589758142,0.916102849992,-5.55111512313e-17,-8.08686451137e-18,0.211852087104,509.281158066
17, 01/01  18:00:00,2.10664592122,0.37009555544,0.0,2.10664592122,0.37009555544,0.17568,0.14568,2.10664592122,0.703607253664,0.0,0.0,0.37009555544,509.281158066
18, 01/01  19:00:00,2.53318587743,0.445030094947,0.0,2.53318587743,0.445030094947,0.17568,0.14568,2.53318587743,0.448086931899,0.0,0.0,0.445030094947,509.281158066
19, 01/01  20:00:00,2.51745563167,0.442266605372,0.0,2.51745563167,0.442266605372,0.17568,0.14568,2.51745563167,0.19415330675,0.0,0.0,0.442266605372,509.281158066
20, 01/01  21:00:00,2.32676354058,0.408765818809,0.0,2.32676354058,0.408765818809,0.17568,0.14568,2.32676354058,-0.0405453680912,0.0,0.0,0.408765818809,509.281158066
21, 01/01  22:00:00,2.1193185385,0.164882982295,0.0,2.1193185385,0.164882982295,0.0778,0.0478,0.0,-0.0405453680912,2.1193185385,0.164882982295,0.0,509.281158066
