,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.954200002302,0.0742367601791,0.0,0.954200002302,0.0742367601791,0.0778,0.0478,0.0,0.0,0.954200002302,0.0742367601791,-1.38777878078e-17,318.290998584
1, 01/01  02:00:00,0.826981853615,0.0643391882112,0.0,0.826981853615,0.0643391882112,0.0778,0.0478,0.0,0.0,0.826981853615,0.0643391882112,0.0,318.290998584
2, 01/01  03:00:00,0.78352934031,0.0609585826761,0.0,0.78352934031,0.0609585826761,0.0778,0.0478,0.0,0.0,0.78352934031,0.0609585826761,-6.93889390391e-18,318.290998584
3, 01/01  04:00:00,0.754233224543,0.0586793448694,0.0,0.754233224543,0.0586793448694,0.0778,0.0478,0.0,0.0,0.754233224543,0.0586793448694,0.0,318.290998584
4, 01/01  05:00:00,0.7965014673,0.0619678141559,0.0,0.7965014673,0.0619678141559,0.0778,0.0478,0.0,0.0,0.7965014673,0.0619678141559,6.93889390391e-18,318.290998584
5, 01/01  06:00:00,0.879613266523,0.0684339121355,0.0,0.879613266523,0.0684339121355,0.0778,0.0478,0.0,0.0,0.879613266523,0.0684339121355,0.0,318.290998584
6, 01/01  07:00:00,1.17679454199,0.0915546153668,0.0,1.17679454199,0.0915546153668,0.0778,0.0478,0.0,0.0,1.17679454199,0.0915546153668,0.0,318.290998584
7, 01/01  08:00:00,1.50491127448,0.117082097155,0.525564,0.97934727448,0.0761932179545,0.0778,0.0478,0.0,0.0,0.97934727448,0.0761932179545,0.0,318.290998584
8, 01/01  09:00:00,1.36811723127,0.0753695782707,1.642731,-0.27461376873,-0.00689005945744,0.05509,0.02509,-0.27461376873,0.0277000591122,0.0,0.0,-0.00689005945744,318.290998584
9, 01/01  10:00:00,1.10925766217,0.0611090046089,2.730689,-1.62143133783,-0.0406817122662,0.05509,0.02509,-1.62143133783,0.191252469874,0.0,0.0,-0.0406817122662,318.290998584
10, 01/01  11:00:00,1.08929196359,0.0600090942742,3.131363,-2.04207103641,-0.0512355623035,0.05509,0.02509,-2.04207103641,0.397234452065,0.0,0.0,-0.0512355623035,318.290998584
11, 01/01  12:00:00,1.11020324402,0.0611610967131,3.582394,-2.47219075598,-0.0620272660675,0.05509,0.02509,-2.47219075598,0.646602247401,0.0,0.0,-0.0620272660675,318.290998584
12, 01/01  13:00:00,1.08792640396,0.0599338655942,3.409703,-2.32177659604,-0.0582533747946,0.05509,0.02509,-2.32177659604,0.880797893355,0.0,0.0,-0.0582533747946,318.290998584
13, 01/01  14:00:00,1.05689307198,0.0582242393354,3.246831,-2.18993792802,-0.054945542614,0.05509,0.02509,-2.18993792802,1.10169508412,4.4408920985e-16,2.44648745706e-17,-0.054945542614,318.290998584
14, 01/01  15:00:00,1.05513934416,0.0581276264698,2.420215,-1.36507565584,-0.034249748205,0.05509,0.02509,0.0,1.10169508412,-1.36507565584,-0.034249748205,-1.38777878078e-17,318.290998584
15, 01/01  16:00:00,1.13975401648,0.0627890487679,1.495541,-0.35578698352,-0.00892669541652,0.05509,0.02509,0.0,1.10169508412,-0.35578698352,-0.00892669541652,0.0,318.290998584
16, 01/01  17:00:00,1.45494086286,0.255604010787,0.146123,1.30881786286,0.229933122147,0.17568,0.14568,1.30881786286,0.969675730772,0.0,0.0,0.229933122147,318.290998584
17, 01/01  18:00:00,2.04506620361,0.35927723065,0.0,2.04506620361,0.35927723065,0.17568,0.14568,2.04506620361,0.763391628594,0.0,0.0,0.35927723065,318.290998584
18, 01/01  19:00:00,2.46355617771,0.4327975493,0.0,2.46355617771,0.4327975493,0.17568,0.14568,2.46355617771,0.514894795881,0.0,0.0,0.4327975493,318.290998584
19, 01/01  20:00:00,2.43038672405,0.426970339681,0.0,2.43038672405,0.426970339681,0.17568,0.14568,2.43038672405,0.269743737968,0.0,0.0,0.426970339681,318.290998584
20, 01/01  21:00:00,2.23595909318,0.39281329349,0.0,2.23595909318,0.39281329349,0.17568,0.14568,2.23595909318,0.0442044311088,0.0,0.0,0.39281329349,318.290998584
21, 01/01  22:00:00,2.04098987826,0.158789012529,0.0,2.04098987826,0.158789012529,0.0778,0.0478,0.0,0.0442044311088,2.04098987826,0.158789012529,-2.77555756156e-17,318.290998584
22, 01/01  23:00:00,1.66890242048,0.129840608313,0.0,1.66890242048,0.129840608313,0.0778,0.0478,0.0,0.0442044311088,1.66890242048,0.129840608313,2.77555756156e-17,318.290998584
23, 01/01  24:00:00,1.3180528706,0.102544513333,0.0,1.3180528706,0.102544513333,0.0778,0.0478,0.0,0.0442044311088,1.3180528706,0.102544513333,0.0,318.290998584
24, 01/02  01:00:00,0.929542370677,0.0723183964387,0.0,0.929542370677,0.0723183964387,0.0778,0.0478,0.0,0.0442044311088,0.929542370677,0.0723183964387,0.0,318.290998584
25, 01/02  02:00:00,0.801721080047,0.0623739000277,0.0,0.801721080047,0.0623739000277,0.0778,0.0478,0.0,0.0442044311088,0.801721080047,0.0623739000277,0.0,318.290998584
26, 01/02  03:00:00,0.771683675229,0.0600369899328,0.0,0.771683675229,0.0600369899328,0.0778,0.0478,0.0,0.0442044311088,0.771683675229,0.0600369899328,0.0,318.290998584
27, 01/02  04:00:00,0.786854362952,0.0612172694377,0.0,0.786854362952,0.0612172694377,0.0778,0.0478,0.0,0.0442044311088,0.786854362952,0.0612172694377,1.38777878078e-17,318.290998584
28, 01/02  05:00:00,0.807306010379,0.0628084076075,0.0,0.807306010379,0.0628084076075,0.0778,0.0478,0.0,0.0442044311088,0.807306010379,0.0628084076075,1.38777878078e-17,318.290998584
29, 01/02  06:00:00,0.875680897699,0.068127973841,0.0,0.875680897699,0.068127973841,0.0778,0.0478,0.0,0.0442044311088,0.875680897699,0.068127973841,1.38777878078e-17,318.290998584
30, 01/02  07:00:00,1.17699119556,0.0915699150146,0.0,1.17699119556,0.0915699150146,0.0778,0.0478,0.0,0.0442044311088,1.17699119556,0.0915699150146,0.0,318.290998584
31, 01/02  08:00:00,1.49232870837,0.116103173511,0.610374,0.88195470837,0.0686160763112,0.0778,0.0478,0.0,0.0442044311088,0.88195470837,0.0686160763112,0.0,318.290998584
32, 01/02  09:00:00,1.34284656117,0.0739774170549,1.852838,-0.50999143883,-0.0127956852002,0.05509,0.02509,-0.50999143883,0.0956468371747,0.0,0.0,-0.0127956852002,318.290998584
33, 01/02  10:00:00,1.07406019105,0.0591699759249,2.708787,-1.63472680895,-0.0410152956366,0.05509,0.02509,-1.63472680895,0.260540350889,0.0,0.0,-0.0410152956366,318.290998584
34, 01/02  11:00:00,1.03100875897,0.0567982725317,3.369699,-2.33869024103,-0.0586777381474,0.05509,0.02509,-2.33869024103,0.49644206194,0.0,0.0,-0.0586777381474,318.290998584
35, 01/02  12:00:00,1.04896635814,0.0577875566699,3.613713,-2.56474664186,-0.0643494932443,0.05509,0.02509,-2.56474664186,0.755145891379,0.0,0.0,-0.0643494932443,318.290998584
36, 01/02  13:00:00,1.03214748039,0.0568610046947,3.525304,-2.49315651961,-0.062553297077,0.05509,0.02509,-2.49315651961,1.0066284856,0.0,0.0,-0.062553297077,318.290998584
37, 01/02  14:00:00,1.00604036756,0.0554227638489,2.911031,-1.90499063244,-0.0477962149679,0.05509,0.02509,0.0,1.0066284856,-1.90499063244,-0.0477962149679,0.0,318.290998584
38, 01/02  15:00:00,1.00949284344,0.0556129607451,2.337131,-1.32763815656,-0.0333104413481,0.05509,0.02509,0.0,1.0066284856,-1.32763815656,-0.0333104413481,1.38777878078e-17,318.290998584
39, 01/02  16:00:00,1.0965185483,0.0604072068258,1.408498,-0.3119794517,-0.00782756444315,0.05509,0.02509,0.0,1.0066284856,-0.3119794517,-0.00782756444315,1.73472347598e-18,318.290998584
40, 01/02  17:00:00,1.41303662389,0.248242274085,0.144216,1.26882062389,0.222906407205,0.17568,0.14568,1.26882062389,0.878643619994,1.11022302463e-16,1.95043980966e-17,0.222906407205,318.290998584
41, 01/02  18:00:00,2.00382228517,0.352031499059,0.0,2.00382228517,0.352031499059,0.17568,0.14568,2.00382228517,0.676519757064,0.0,0.0,0.352031499059,318.290998584
42, 01/02  19:00:00,2.42352747639,0.425765307052,0.0,2.42352747639,0.425765307052,0.17568,0.14568,2.42352747639,0.432060585675,0.0,0.0,0.425765307052,318.290998584
43, 01/02  20:00:00,2.39043451097,0.419951534887,0.0,2.39043451097,0.419951534887,0.17568,0.14568,2.39043451097,0.19093947378,0.0,0.0,0.419951534887,318.290998584
44, 01/02  21:00:00,2.19529449461,0.385669336813,0.0,2.19529449461,0.385669336813,0.17568,0.14568,2.19529449461,-0.0304980293373,0.0,0.0,0.385669336813,318.290998584
45, 01/02  22:00:00,1.98331411822,0.154301838398,0.0,1.98331411822,0.154301838398,0.0778,0.0478,0.0,-0.0304980293373,1.98331411822,0.154301838398,0.0,318.290998584
46, 01/02  23:00:00,1.59761203401,0.124294216246,0.0,1.59761203401,0.124294216246,0.0778,0.0478,0.0,-0.0304980293373,1.59761203401,0.124294216246,1.38777878078e-17,318.290998584
47, 01/02  24:00:00,1.22887620026,0.0956065683802,0.0,1.22887620026,0.0956065683802,0.0778,0.0478,0.0,-0.0304980293373,1.22887620026,0.0956065683802,1.38777878078e-17,318.290998584
48, 01/03  01:00:00,0.884583443068,0.0688205918707,0.0,0.884583443068,0.0688205918707,0.0778,0.0478,0.0,-0.0304980293373,0.884583443068,0.0688205918707,1.38777878078e-17,318.290998584
49, 01/03  02:00:00,0.73848629999,0.0574542341392,0.0,0.73848629999,0.0574542341392,0.0778,0.0478,0.0,-0.0304980293373,0.73848629999,0.0574542341392,6.93889390391e-18,318.290998584
50, 01/03  03:00:00,0.704951423857,0.0548452207761,0.0,0.704951423857,0.0548452207761,0.0778,0.0478,0.0,-0.0304980293373,0.704951423857,0.0548452207761,0.0,318.290998584
51, 01/03  04:00:00,0.728556805053,0.0566817194331,0.0,0.728556805053,0.0566817194331,0.0778,0.0478,0.0,-0.0304980293373,0.728556805053,0.0566817194331,0.0,318.290998584
