,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.04105812989,0.0809943225054,0.0,1.04105812989,0.0809943225054,0.0778,0.0478,0.0,0.0,1.04105812989,0.0809943225054,0.0,495.577063289
1, 01/01  02:00:00,0.895938226382,0.0697039940125,0.0,0.895938226382,0.0697039940125,0.0778,0.0478,0.0,0.0,0.895938226382,0.0697039940125,0.0,495.577063289
2, 01/01  03:00:00,0.839422745027,0.0653070895631,0.0,0.839422745027,0.0653070895631,0.0778,0.0478,0.0,0.0,0.839422745027,0.0653070895631,0.0,495.577063289
3, 01/01  04:00:00,0.833828153767,0.0648718303631,0.0,0.833828153767,0.0648718303631,0.0778,0.0478,0.0,0.0,0.833828153767,0.0648718303631,0.0,495.577063289
4, 01/01  05:00:00,0.829695120984,0.0645502804126,0.0,0.829695120984,0.0645502804126,0.0778,0.0478,0.0,0.0,0.829695120984,0.0645502804126,0.0,495.577063289
5, 01/01  06:00:00,0.887370770634,0.0690374459553,0.0,0.887370770634,0.0690374459553,0.0778,0.0478,0.0,0.0,0.887370770634,0.0690374459553,0.0,495.577063289
6, 01/01  07:00:00,1.15554667908,0.0899015316324,0.0,1.15554667908,0.0899015316324,0.0778,0.0478,0.0,0.0,1.15554667908,0.0899015316324,-1.38777878078e-17,495.577063289
7, 01/01  08:00:00,1.59974742326,0.12446034953,0.153786,1.44596142326,0.11249579873,0.0778,0.0478,0.0,0.0,1.44596142326,0.11249579873,1.38777878078e-17,495.577063289
8, 01/01  09:00:00,1.50392787616,0.0828513866977,0.940568,0.56335987616,0.0310354955777,0.05509,0.02509,0.0,0.0,0.56335987616,0.0310354955777,1.04083408559e-17,495.577063289
9, 01/01  10:00:00,1.26084123439,0.0694597436025,1.315284,-0.05444276561,-0.00136596898915,0.05509,0.02509,-0.05444276561,0.0054915958242,0.0,0.0,-0.00136596898915,495.577063289
10, 01/01  11:00:00,1.25940196901,0.0693804544728,1.707235,-0.44783303099,-0.0112361307475,0.05509,0.02509,-0.44783303099,0.0506641357452,0.0,0.0,-0.0112361307475,495.577063289
11, 01/01  12:00:00,1.26530380976,0.0697055868797,2.230964,-0.96566019024,-0.0242284141731,0.05509,0.02509,-0.96566019024,0.148069464238,0.0,0.0,-0.0242284141731,495.577063289
12, 01/01  13:00:00,1.23137997009,0.0678367225523,2.099451,-0.86807102991,-0.0217799021404,0.05509,0.02509,-0.86807102991,0.235631056482,0.0,0.0,-0.0217799021404,495.577063289
13, 01/01  14:00:00,1.20565438473,0.0664195000548,2.907613,-1.70195861527,-0.0427021416571,0.05509,0.02509,-1.70195861527,0.407306185765,0.0,0.0,-0.0427021416571,495.577063289
14, 01/01  15:00:00,1.20762889414,0.0665282757782,1.916961,-0.70933210586,-0.017797142536,0.05509,0.02509,-0.70933210586,0.478855916695,0.0,0.0,-0.017797142536,495.577063289
15, 01/01  16:00:00,1.28518447789,0.070800812887,1.298831,-0.01364652211,-0.00034239123974,0.05509,0.02509,-0.01364652211,0.480232429864,0.0,0.0,-0.00034239123974,495.577063289
16, 01/01  17:00:00,1.6102642446,0.282891222491,0.278844,1.3314202446,0.233903908571,0.17568,0.14568,1.3314202446,0.345933193344,-1.11022302463e-16,-1.61737290227e-17,0.233903908571,495.577063289
