,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.11138512234,0.0864657625181,0.0,1.11138512234,0.0864657625181,0.0778,0.0478,0.0,0.0,1.11138512234,0.0864657625181,0.0,466.746300069
1, 01/01  02:00:00,0.957866402293,0.0745220060984,0.0,0.957866402293,0.0745220060984,0.0778,0.0478,0.0,0.0,0.957866402293,0.0745220060984,0.0,466.746300069
2, 01/01  03:00:00,0.89452414367,0.0695939783775,0.0,0.89452414367,0.0695939783775,0.0778,0.0478,0.0,0.0,0.89452414367,0.0695939783775,0.0,466.746300069
3, 01/01  04:00:00,0.866481775943,0.0674122821684,0.0,0.866481775943,0.0674122821684,0.0778,0.0478,0.0,0.0,0.866481775943,0.0674122821684,0.0,466.746300069
4, 01/01  05:00:00,0.869077146731,0.0676142020157,0.0,0.869077146731,0.0676142020157,0.0778,0.0478,0.0,0.0,0.869077146731,0.0676142020157,-1.38777878078e-17,466.746300069
5, 01/01  06:00:00,0.931726219694,0.0724882998922,0.0,0.931726219694,0.0724882998922,0.0778,0.0478,0.0,0.0,0.931726219694,0.0724882998922,0.0,466.746300069
6, 01/01  07:00:00,1.20802548661,0.0939843828583,0.0,1.20802548661,0.0939843828583,0.0778,0.0478,0.0,0.0,1.20802548661,0.0939843828583,1.38777878078e-17,466.746300069
7, 01/01  08:00:00,1.62064251903,0.126085987981,0.0,1.62064251903,0.126085987981,0.0778,0.0478,0.0,0.0,1.62064251903,0.126085987981,0.0,466.746300069
8, 01/01  09:00:00,1.53617728559,0.0846280066632,0.748896,0.78728128559,0.0433713260232,0.05509,0.02509,0.0,0.0,0.78728128559,0.0433713260232,0.0,466.746300069
9, 01/01  10:00:00,1.32461232671,0.0729728930785,1.610751,-0.28613867329,-0.00717921931285,0.05509,0.02509,-0.28613867329,0.0288625665096,0.0,0.0,-0.00717921931285,466.746300069
10, 01/01  11:00:00,1.31549181151,0.0724704438961,0.802746,0.51274581151,0.0282471667561,0.05509,0.02509,0.0,0.0288625665096,0.51274581151,0.0282471667561,0.0,466.746300069
11, 01/01  12:00:00,1.29748025277,0.0714781871251,1.808612,-0.51113174723,-0.012824295538,0.05509,0.02509,-0.51113174723,0.0804199945215,0.0,0.0,-0.012824295538,466.746300069
12, 01/01  13:00:00,1.25689578331,0.0692423887025,0.896485,0.36041078331,0.0198550300525,0.05509,0.02509,0.0,0.0804199945215,0.36041078331,0.0198550300525,3.46944695195e-18,466.746300069
13, 01/01  14:00:00,1.21255148174,0.0667994611291,0.63663,0.57592148174,0.0317275144291,0.05509,0.02509,0.0,0.0804199945215,0.57592148174,0.0317275144291,0.0,466.746300069
14, 01/01  15:00:00,1.19845807831,0.0660230555341,1.125279,0.07317907831,0.0040314354241,0.05509,0.02509,0.0,0.0804199945215,0.07317907831,0.0040314354241,1.21430643318e-17,466.746300069
15, 01/01  16:00:00,1.26378756095,0.0696220567327,1.239294,0.02449356095,0.00134935027274,0.05509,0.02509,0.0,0.0804199945215,0.02449356095,0.00134935027274,-1.21430643318e-17,466.746300069
16, 01/01  17:00:00,1.58876553389,0.279114328994,0.163695,1.42507053389,0.250356391394,0.17568,0.14568,0.0,0.0804199945215,1.42507053389,0.250356391394,0.0,466.746300069
17, 01/01  18:00:00,2.19122466859,0.384954349778,0.0,2.19122466859,0.384954349778,0.17568,0.14568,0.0,0.0804199945215,2.19122466859,0.384954349778,0.0,466.746300069
18, 01/01  19:00:00,2.61763722281,0.459866507303,0.0,2.61763722281,0.459866507303,0.17568,0.14568,0.0,0.0804199945215,2.61763722281,0.459866507303,0.0,466.746300069
19, 01/01  20:00:00,2.60193813296,0.457108491198,0.0,2.60193813296,0.457108491198,0.17568,0.14568,0.0,0.0804199945215,2.60193813296,0.457108491198,5.55111512313e-17,466.746300069
20, 01/01  21:00:00,2.43035106583,0.426964075245,0.0,2.43035106583,0.426964075245,0.17568,0.14568,0.0,0.0804199945215,2.43035106583,0.426964075245,0.0,466.746300069
21, 01/01  22:00:00,2.24326642597,0.17452612794,0.0,2.24326642597,0.17452612794,0.0778,0.0478,0.0,0.0804199945215,2.24326642597,0.17452612794,2.77555756156e-17,466.746300069
