,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.928393363649,0.0722290036919,0.0,0.928393363649,0.0722290036919,0.0778,0.0478,0.0,0.0,0.928393363649,0.0722290036919,-1.38777878078e-17,591.178154192
1, 01/01  02:00:00,0.792330524924,0.0616433148391,0.0,0.792330524924,0.0616433148391,0.0778,0.0478,0.0,0.0,0.792330524924,0.0616433148391,0.0,591.178154192
2, 01/01  03:00:00,0.784778579779,0.0610557735068,0.0,0.784778579779,0.0610557735068,0.0778,0.0478,0.0,0.0,0.784778579779,0.0610557735068,6.93889390391e-18,591.178154192
3, 01/01  04:00:00,0.778913384535,0.0605994613168,0.0,0.778913384535,0.0605994613168,0.0778,0.0478,0.0,0.0,0.778913384535,0.0605994613168,0.0,591.178154192
4, 01/01  05:00:00,0.791352244087,0.06156720459,0.0,0.791352244087,0.06156720459,0.0778,0.0478,0.0,0.0,0.791352244087,0.06156720459,6.93889390391e-18,591.178154192
5, 01/01  06:00:00,0.885032383868,0.0688555194649,0.0,0.885032383868,0.0688555194649,0.0778,0.0478,0.0,0.0,0.885032383868,0.0688555194649,-1.38777878078e-17,591.178154192
6, 01/01  07:00:00,1.17770925651,0.0916257801565,0.0,1.17770925651,0.0916257801565,0.0778,0.0478,0.0,0.0,1.17770925651,0.0916257801565,0.0,591.178154192
7, 01/01  08:00:00,1.53283973132,0.119254931097,0.49089,1.04194973132,0.0810636890967,0.0778,0.0478,0.0,0.0,1.04194973132,0.0810636890967,0.0,591.178154192
8, 01/01  09:00:00,1.39652660981,0.0769346509344,1.665964,-0.26943739019,-0.00676018411987,0.05509,0.02509,-0.26943739019,0.0271779221771,0.0,0.0,-0.00676018411987,591.178154192
9, 01/01  10:00:00,1.12724989154,0.0621001965249,1.952506,-0.82525610846,-0.0207056757613,0.05509,0.02509,-0.82525610846,0.110420809425,0.0,0.0,-0.0207056757613,591.178154192
10, 01/01  11:00:00,1.08929196359,0.0600090942742,1.828104,-0.73881203641,-0.0185367939935,0.05509,0.02509,-0.73881203641,0.184944156072,0.0,0.0,-0.0185367939935,591.178154192
11, 01/01  12:00:00,1.11020324402,0.0611610967131,2.378402,-1.26819875598,-0.0318191067875,0.05509,0.02509,-1.26819875598,0.312866294387,0.0,0.0,-0.0318191067875,591.178154192
12, 01/01  13:00:00,1.08792640396,0.0599338655942,2.209082,-1.12115559604,-0.0281297939046,0.05509,0.02509,-1.12115559604,0.425956313245,0.0,0.0,-0.0281297939046,591.178154192
13, 01/01  14:00:00,1.05689307198,0.0582242393354,2.823292,-1.76639892802,-0.044318949104,0.05509,0.02509,-1.76639892802,0.604131482495,0.0,0.0,-0.044318949104,591.178154192
14, 01/01  15:00:00,1.05513934416,0.0581276264698,2.244442,-1.18930265584,-0.029839603635,0.05509,0.02509,-1.18930265584,0.724095437767,0.0,0.0,-0.029839603635,591.178154192
15, 01/01  16:00:00,1.13975401648,0.0627890487679,0.803725,0.33602901648,0.0185118385179,0.05509,0.02509,0.33602901648,0.690200474441,0.0,0.0,0.0185118385179,591.178154192
16, 01/01  17:00:00,1.45494086286,0.255604010787,0.069945,1.38499586286,0.243316073187,0.17568,0.14568,1.38499586286,0.550497110517,-8.32667268469e-17,-1.21302967671e-17,0.243316073187,591.178154192
17, 01/01  18:00:00,2.04506620361,0.35927723065,0.0,2.04506620361,0.35927723065,0.17568,0.14568,2.04506620361,0.344213008339,0.0,0.0,0.35927723065,591.178154192
18, 01/01  19:00:00,2.46355617771,0.4327975493,0.0,2.46355617771,0.4327975493,0.17568,0.14568,2.46355617771,0.0957161756262,0.0,0.0,0.4327975493,591.178154192
19, 01/01  20:00:00,2.43038672405,0.426970339681,0.0,2.43038672405,0.426970339681,0.17568,0.14568,0.0,0.0957161756262,2.43038672405,0.426970339681,0.0,591.178154192
20, 01/01  21:00:00,2.23595909318,0.39281329349,0.0,2.23595909318,0.39281329349,0.17568,0.14568,0.0,0.0957161756262,2.23595909318,0.39281329349,0.0,591.178154192
21, 01/01  22:00:00,2.02485545179,0.157533754149,0.0,2.02485545179,0.157533754149,0.0778,0.0478,0.0,0.0957161756262,2.02485545179,0.157533754149,0.0,591.178154192
22, 01/01  23:00:00,1.63062078116,0.126862296774,0.0,1.63062078116,0.126862296774,0.0778,0.0478,0.0,0.0957161756262,1.63062078116,0.126862296774,0.0,591.178154192
23, 01/01  24:00:00,1.27195325266,0.0989579630569,0.0,1.27195325266,0.0989579630569,0.0778,0.0478,0.0,0.0957161756262,1.27195325266,0.0989579630569,0.0,591.178154192
24, 01/02  01:00:00,0.89777213323,0.0698466719653,0.0,0.89777213323,0.0698466719653,0.0778,0.0478,0.0,0.0957161756262,0.89777213323,0.0698466719653,1.38777878078e-17,591.178154192
25, 01/02  02:00:00,0.76615150839,0.0596065873527,0.0,0.76615150839,0.0596065873527,0.0778,0.0478,0.0,0.0957161756262,0.76615150839,0.0596065873527,0.0,591.178154192
26, 01/02  03:00:00,0.730384072911,0.0568238808725,0.0,0.730384072911,0.0568238808725,0.0778,0.0478,0.0,0.0957161756262,0.730384072911,0.0568238808725,6.93889390391e-18,591.178154192
27, 01/02  04:00:00,0.73890886057,0.0574871093523,0.0,0.73890886057,0.0574871093523,0.0778,0.0478,0.0,0.0957161756262,0.73890886057,0.0574871093523,2.08166817117e-17,591.178154192
28, 01/02  05:00:00,0.731062494621,0.0568766620815,0.0,0.731062494621,0.0568766620815,0.0778,0.0478,0.0,0.0957161756262,0.731062494621,0.0568766620815,0.0,591.178154192
29, 01/02  06:00:00,0.817060086921,0.0635672747625,0.0,0.817060086921,0.0635672747625,0.0778,0.0478,0.0,0.0957161756262,0.817060086921,0.0635672747625,1.38777878078e-17,591.178154192
