,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.955539602149,0.0743409810472,0.0,0.955539602149,0.0743409810472,0.0778,0.0478,0.0,0.0,0.955539602149,0.0743409810472,-1.38777878078e-17,496.02138222
1, 01/01  02:00:00,0.831137852091,0.0646625248927,0.0,0.831137852091,0.0646625248927,0.0778,0.0478,0.0,0.0,0.831137852091,0.0646625248927,0.0,496.02138222
2, 01/01  03:00:00,0.790866200709,0.0615293904152,0.0,0.790866200709,0.0615293904152,0.0778,0.0478,0.0,0.0,0.790866200709,0.0615293904152,6.93889390391e-18,496.02138222
3, 01/01  04:00:00,0.763593734003,0.0594075925054,0.0,0.763593734003,0.0594075925054,0.0778,0.0478,0.0,0.0,0.763593734003,0.0594075925054,0.0,496.02138222
4, 01/01  05:00:00,0.779557905111,0.0606496050176,0.0,0.779557905111,0.0606496050176,0.0778,0.0478,0.0,0.0,0.779557905111,0.0606496050176,0.0,496.02138222
5, 01/01  06:00:00,0.835176674052,0.0649767452412,0.0,0.835176674052,0.0649767452412,0.0778,0.0478,0.0,0.0,0.835176674052,0.0649767452412,0.0,496.02138222
6, 01/01  07:00:00,1.13913679159,0.0886248423857,0.0,1.13913679159,0.0886248423857,0.0778,0.0478,0.0,0.0,1.13913679159,0.0886248423857,0.0,496.02138222
7, 01/01  08:00:00,1.55592536678,0.121050993535,0.153786,1.40213936678,0.109086442735,0.0778,0.0478,0.0,0.0,1.40213936678,0.109086442735,-1.38777878078e-17,496.02138222
8, 01/01  09:00:00,1.40458976954,0.077378850404,0.940568,0.46402176954,0.025562959284,0.05509,0.02509,0.0,0.0,0.46402176954,0.025562959284,3.46944695195e-18,496.02138222
9, 01/01  10:00:00,1.1497345607,0.063338876949,1.315284,-0.1655494393,-0.00415363543204,0.05509,0.02509,-0.1655494393,0.0166988322392,0.0,0.0,-0.00415363543204,496.02138222
