,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.06549914083,0.0828958331566,0.0,1.06549914083,0.0828958331566,0.0778,0.0478,0.0,0.0,1.06549914083,0.0828958331566,-1.38777878078e-17,482.541553537
1, 01/01  02:00:00,0.925468677949,0.0720014631444,0.0,0.925468677949,0.0720014631444,0.0778,0.0478,0.0,0.0,0.925468677949,0.0720014631444,0.0,482.541553537
2, 01/01  03:00:00,0.879473240275,0.0684230180934,0.0,0.879473240275,0.0684230180934,0.0778,0.0478,0.0,0.0,0.879473240275,0.0684230180934,1.38777878078e-17,482.541553537
3, 01/01  04:00:00,0.886659179963,0.0689820842011,0.0,0.886659179963,0.0689820842011,0.0778,0.0478,0.0,0.0,0.886659179963,0.0689820842011,-1.38777878078e-17,482.541553537
4, 01/01  05:00:00,0.897038112844,0.0697895651793,0.0,0.897038112844,0.0697895651793,0.0778,0.0478,0.0,0.0,0.897038112844,0.0697895651793,0.0,482.541553537
5, 01/01  06:00:00,0.967939351045,0.0753056815113,0.0,0.967939351045,0.0753056815113,0.0778,0.0478,0.0,0.0,0.967939351045,0.0753056815113,-1.38777878078e-17,482.541553537
6, 01/01  07:00:00,1.23806392226,0.0963213731518,0.0,1.23806392226,0.0963213731518,0.0778,0.0478,0.0,0.0,1.23806392226,0.0963213731518,0.0,482.541553537
7, 01/01  08:00:00,1.64891454434,0.12828555155,0.006627,1.64228754434,0.12776997095,0.0778,0.0478,0.0,0.0,1.64228754434,0.12776997095,0.0,482.541553537
8, 01/01  09:00:00,1.49775978324,0.0825115864587,0.413536,1.08422378324,0.0597298882187,0.05509,0.02509,0.0,0.0,1.08422378324,0.0597298882187,6.93889390391e-18,482.541553537
9, 01/01  10:00:00,1.21881286622,0.0671444008001,0.725463,0.49334986622,0.0271786441301,0.05509,0.02509,0.0,0.0,0.49334986622,0.0271786441301,-3.46944695195e-18,482.541553537
10, 01/01  11:00:00,1.18248624512,0.0651431672437,0.525565,0.65692124512,0.0361897913937,0.05509,0.02509,0.0,0.0,0.65692124512,0.0361897913937,0.0,482.541553537
11, 01/01  12:00:00,1.1547137094,0.0636131782508,0.754699,0.4000147094,0.0220368103408,0.05509,0.02509,0.0,0.0,0.4000147094,0.0220368103408,3.46944695195e-18,482.541553537
12, 01/01  13:00:00,1.10387813096,0.0608126462346,2.829406,-1.72552786904,-0.0432934942342,0.05509,0.02509,-1.72552786904,0.174052540021,0.0,0.0,-0.0432934942342,482.541553537
