,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,0.949284008638,0.073854295872,0.0,0.949284008638,0.073854295872,0.0778,0.0478,0.0,0.0,0.949284008638,0.073854295872,0.0,613.294907413
1, 01/01  02:00:00,0.807994135424,0.062861943736,0.0,0.807994135424,0.062861943736,0.0778,0.0478,0.0,0.0,0.807994135424,0.062861943736,0.0,613.294907413
2, 01/01  03:00:00,0.759148321919,0.0590617394453,0.0,0.759148321919,0.0590617394453,0.0778,0.0478,0.0,0.0,0.759148321919,0.0590617394453,6.93889390391e-18,613.294907413
3, 01/01  04:00:00,0.754034712534,0.0586639006351,0.0,0.754034712534,0.0586639006351,0.0778,0.0478,0.0,0.0,0.754034712534,0.0586639006351,0.0,613.294907413
4, 01/01  05:00:00,0.760978859678,0.0592041552829,0.0,0.760978859678,0.0592041552829,0.0778,0.0478,0.0,0.0,0.760978859678,0.0592041552829,0.0,613.294907413
5, 01/01  06:00:00,0.82722737775,0.0643582899889,0.0,0.82722737775,0.064358289989,0.0778,0.0478,0.0,0.0,0.82722737775,0.064358289989,0.0,613.294907413
6, 01/01  07:00:00,1.09520209764,0.0852067231964,0.0,1.09520209764,0.0852067231964,0.0778,0.0478,0.0,0.0,1.09520209764,0.0852067231964,0.0,613.294907413
7, 01/01  08:00:00,1.49676696217,0.116448469657,0.108851,1.38791596217,0.107979861857,0.0778,0.0478,0.0,0.0,1.38791596217,0.107979861857,-1.38777878078e-17,613.294907413
8, 01/01  09:00:00,1.39775836326,0.077002508232,0.519288,0.87847036326,0.048394932312,0.05509,0.02509,0.0,0.0,0.87847036326,0.048394932312,6.93889390391e-18,613.294907413
9, 01/01  10:00:00,1.14612597422,0.0631400799198,1.834632,-0.68850602578,-0.0172746161868,0.05509,0.02509,-0.68850602578,0.0694490218076,0.0,0.0,-0.0172746161868,613.294907413
10, 01/01  11:00:00,1.11295174782,0.0613125117874,1.062101,0.05085074782,0.0028013676974,0.05509,0.02509,0.0,0.0694490218076,0.05085074782,0.0028013676974,0.0,613.294907413
11, 01/01  12:00:00,1.11020324402,0.0611610967131,2.543172,-1.43296875598,-0.0359531860875,0.05509,0.02509,-1.43296875598,0.213991370977,0.0,0.0,-0.0359531860875,613.294907413
12, 01/01  13:00:00,1.08792640396,0.0599338655942,3.46469,-2.37676359604,-0.0596329986246,0.05509,0.02509,-2.37676359604,0.453733509219,0.0,0.0,-0.0596329986246,613.294907413
13, 01/01  14:00:00,1.05689307198,0.0582242393354,2.015588,-0.95869492802,-0.024053655744,0.05509,0.02509,-0.95869492802,0.55043625759,0.0,0.0,-0.024053655744,613.294907413
14, 01/01  15:00:00,1.05513934416,0.0581276264698,1.478717,-0.42357765584,-0.010627563385,0.05509,0.02509,-0.42357765584,0.593162178288,0.0,0.0,-0.010627563385,613.294907413
15, 01/01  16:00:00,1.13975401648,0.0627890487679,1.220246,-0.08049198352,-0.00201954386652,0.05509,0.02509,-0.08049198352,0.60128133674,0.0,0.0,-0.00201954386652,613.294907413
16, 01/01  17:00:00,1.45494086286,0.255604010787,0.161416,1.29352486286,0.227246447907,0.17568,0.14568,1.29352486286,0.470804575397,0.0,0.0,0.227246447907,613.294907413
17, 01/01  18:00:00,2.04506620361,0.35927723065,0.0,2.04506620361,0.35927723065,0.17568,0.14568,2.04506620361,0.264520473218,0.0,0.0,0.35927723065,613.294907413
18, 01/01  19:00:00,2.46355617771,0.4327975493,0.0,2.46355617771,0.4327975493,0.17568,0.14568,2.46355617771,0.0160236405056,0.0,0.0,0.4327975493,613.294907413
19, 01/01  20:00:00,2.43038672405,0.426970339681,0.0,2.43038672405,0.426970339681,0.17568,0.14568,0.0,0.0160236405056,2.43038672405,0.426970339681,0.0,613.294907413
20, 01/01  21:00:00,2.25308193489,0.395821434321,0.0,2.25308193489,0.395821434321,0.17568,0.14568,0.0,0.0160236405056,2.25308193489,0.395821434321,5.55111512313e-17,613.294907413
21, 01/01  22:00:00,2.06146592492,0.160382048959,0.0,2.06146592492,0.160382048959,0.0778,0.0478,0.0,0.0160236405056,2.06146592492,0.160382048959,2.77555756156e-17,613.294907413
22, 01/01  23:00:00,1.68689649597,0.131240547386,0.0,1.68689649597,0.131240547386,0.0778,0.0478,0.0,0.0160236405056,1.68689649597,0.131240547386,2.77555756156e-17,613.294907413
23, 01/01  24:00:00,1.30952222812,0.101880829348,0.0,1.30952222812,0.101880829348,0.0778,0.0478,0.0,0.0160236405056,1.30952222812,0.101880829348,0.0,613.294907413
24, 01/02  01:00:00,0.932846952876,0.0725754929338,0.0,0.932846952876,0.0725754929338,0.0778,0.0478,0.0,0.0160236405056,0.932846952876,0.0725754929338,1.38777878078e-17,613.294907413
25, 01/02  02:00:00,0.791904081601,0.0616101375486,0.0,0.791904081601,0.0616101375486,0.0778,0.0478,0.0,0.0160236405056,0.791904081601,0.0616101375486,0.0,613.294907413
26, 01/02  03:00:00,0.741831977223,0.0577145278279,0.0,0.741831977223,0.0577145278279,0.0778,0.0478,0.0,0.0160236405056,0.741831977223,0.0577145278279,-6.93889390391e-18,613.294907413
27, 01/02  04:00:00,0.735872090751,0.0572508486604,0.0,0.735872090751,0.0572508486604,0.0778,0.0478,0.0,0.0160236405056,0.735872090751,0.0572508486604,6.93889390391e-18,613.294907413
28, 01/02  05:00:00,0.738368162179,0.0574450430175,0.0,0.738368162179,0.0574450430175,0.0778,0.0478,0.0,0.0160236405056,0.738368162179,0.0574450430175,6.93889390391e-18,613.294907413
29, 01/02  06:00:00,0.800337220517,0.0622662357562,0.0,0.800337220517,0.0622662357562,0.0778,0.0478,0.0,0.0160236405056,0.800337220517,0.0622662357562,2.08166817117e-17,613.294907413
30, 01/02  07:00:00,1.07464679898,0.0836075209606,0.0,1.07464679898,0.0836075209606,0.0778,0.0478,0.0,0.0160236405056,1.07464679898,0.0836075209606,0.0,613.294907413
31, 01/02  08:00:00,1.44499478548,0.11242059431,0.054292,1.39070278548,0.10819667671,0.0778,0.0478,0.0,0.0160236405056,1.39070278548,0.10819667671,-1.38777878078e-17,613.294907413
32, 01/02  09:00:00,1.33060928075,0.0733032652765,0.22312,1.10748928075,0.0610115844765,0.05509,0.02509,0.0,0.0160236405056,1.10748928075,0.0610115844765,6.93889390391e-18,613.294907413
33, 01/02  10:00:00,1.06290821416,0.0585556135181,0.337278,0.72563021416,0.0399749684981,0.05509,0.02509,0.0,0.0160236405056,0.72563021416,0.0399749684981,6.93889390391e-18,613.294907413
34, 01/02  11:00:00,1.02988969634,0.0567366233714,0.438909,0.59098069634,0.0325571265614,0.05509,0.02509,0.0,0.0160236405056,0.59098069634,0.0325571265614,0.0,613.294907413
35, 01/02  12:00:00,1.04896635814,0.0577875566699,0.504315,0.54465135814,0.0300048433199,0.05509,0.02509,0.0,0.0160236405056,0.54465135814,0.0300048433199,3.46944695195e-18,613.294907413
