,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly ESS savings
0, 01/01  01:00:00,1.04171687858,0.0810455731535,0.0,1.04171687858,0.0810455731535,0.0778,0.0478,0.0,0.0,1.04171687858,0.0810455731535,-1.38777878078e-17,425.297934718
1, 01/01  02:00:00,0.879168785565,0.068399331517,0.0,0.879168785565,0.068399331517,0.0778,0.0478,0.0,0.0,0.879168785565,0.068399331517,0.0,425.297934718
2, 01/01  03:00:00,0.8306845349,0.0646272568152,0.0,0.8306845349,0.0646272568152,0.0778,0.0478,0.0,0.0,0.8306845349,0.0646272568152,1.38777878078e-17,425.297934718
3, 01/01  04:00:00,0.820478136707,0.0638331990358,0.0,0.820478136707,0.0638331990358,0.0778,0.0478,0.0,0.0,0.820478136707,0.0638331990358,0.0,425.297934718
4, 01/01  05:00:00,0.805753580039,0.062687628527,0.0,0.805753580039,0.062687628527,0.0778,0.0478,0.0,0.0,0.805753580039,0.062687628527,-1.38777878078e-17,425.297934718
5, 01/01  06:00:00,0.870838454768,0.067751231781,0.0,0.870838454768,0.067751231781,0.0778,0.0478,0.0,0.0,0.870838454768,0.067751231781,0.0,425.297934718
6, 01/01  07:00:00,1.16497259245,0.0906348676926,0.0,1.16497259245,0.0906348676926,0.0778,0.0478,0.0,0.0,1.16497259245,0.0906348676926,0.0,425.297934718
7, 01/01  08:00:00,1.55858055206,0.12125756695,0.0,1.55858055206,0.12125756695,0.0778,0.0478,0.0,0.0,1.55858055206,0.12125756695,1.38777878078e-17,425.297934718
8, 01/01  09:00:00,1.47287233803,0.0811405371021,0.138292,1.33458033803,0.0735220308221,0.05509,0.02509,0.0,0.0,1.33458033803,0.0735220308221,0.0,425.297934718
9, 01/01  10:00:00,1.24589805461,0.0686365238285,1.262872,-0.01697394539,-0.000425876289835,0.05509,0.02509,-0.01697394539,0.00171214754761,0.0,0.0,-0.000425876289835,425.297934718
10, 01/01  11:00:00,1.2419241762,0.0684176028669,0.599756,0.6421681762,0.0353770448269,0.05509,0.02509,0.0,0.00171214754761,0.6421681762,0.0353770448269,6.93889390391e-18,425.297934718
11, 01/01  12:00:00,1.24851026214,0.0687804303413,0.728597,0.51991326214,0.0286420216113,0.05509,0.02509,0.0,0.00171214754761,0.51991326214,0.0286420216113,0.0,425.297934718
12, 01/01  13:00:00,1.21810440693,0.0671053717778,1.330252,-0.11214759307,-0.00281378311013,0.05509,0.02509,-0.11214759307,0.0130243806221,0.0,0.0,-0.00281378311013,425.297934718
13, 01/01  14:00:00,1.17439148715,0.0646972270271,0.894694,0.27969748715,0.0154085345671,0.05509,0.02509,0.0,0.0130243806221,0.27969748715,0.0154085345671,6.93889390391e-18,425.297934718
14, 01/01  15:00:00,1.16901575746,0.0644010780785,0.39999,0.76902575746,0.0423656289785,0.05509,0.02509,0.0,0.0130243806221,0.76902575746,0.0423656289785,0.0,425.297934718
15, 01/01  16:00:00,1.23349470987,0.0679532235667,0.170976,1.06251870987,0.0585341557267,0.05509,0.02509,0.0,0.0130243806221,1.06251870987,0.0585341557267,0.0,425.297934718
16, 01/01  17:00:00,1.57163522176,0.276104875759,0.049102,1.52253322176,0.267478636399,0.17568,0.14568,0.0,0.0130243806221,1.52253322176,0.267478636399,0.0,425.297934718
17, 01/01  18:00:00,2.18859823124,0.384492937264,0.0,2.18859823124,0.384492937264,0.17568,0.14568,0.0,0.0130243806221,2.18859823124,0.384492937264,0.0,425.297934718
18, 01/01  19:00:00,2.63025286928,0.462082824075,0.0,2.63025286928,0.462082824075,0.17568,0.14568,0.0,0.0130243806221,2.63025286928,0.462082824075,0.0,425.297934718
19, 01/01  20:00:00,2.61877645599,0.460066647788,0.0,2.61877645599,0.460066647788,0.17568,0.14568,0.0,0.0130243806221,2.61877645599,0.460066647788,0.0,425.297934718
20, 01/01  21:00:00,2.44049145601,0.428745538992,0.0,2.44049145601,0.428745538992,0.17568,0.14568,0.0,0.0130243806221,2.44049145601,0.428745538992,0.0,425.297934718
21, 01/01  22:00:00,2.24168866631,0.174403378239,0.0,2.24168866631,0.174403378239,0.0778,0.0478,0.0,0.0130243806221,2.24168866631,0.174403378239,0.0,425.297934718
22, 01/01  23:00:00,1.85845540163,0.144587830247,0.0,1.85845540163,0.144587830247,0.0778,0.0478,0.0,0.0130243806221,1.85845540163,0.144587830247,0.0,425.297934718
