,Utility,City,Zip,Tariff,Bill Before Solar,Bill Solar Only,Bill PV+ESS,Solar Savings,ESS Savings
0,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ET-2,1593.984018,-51.85588501,-481.3499598,1645.839903,429.4940748
1,Eversource Energy (Formerly NSTAR Electric Company),Boston-Logan Intl AP,2298,R-2 (A2)-NEM,2984.986248,1673.607051,1486.357248,1311.379197,187.2498034
2,Xcel Energy - Colorado,Denver Intl AP,80235,RE-TOU,1494.30708,364.9777731,276.2209043,1129.329307,88.75686878
3,Maui Electric Co Ltd,Kahului AP 911900,96733,TOU-RI-SE,7740.393543,3382.869446,2419.625305,4357.524096,963.2441409
4,Pacific Gas & Electric Co,San Jose Intl AP,95196,E-7-TOU,3765.20225,-518.965471,-695.6826211,4284.167721,176.7171501
5,NV Energy - South (prev. Nevada Power),Las Vegas-McCarran Intl AP,89199,OLRS-TOU,2166.464578,919.7913412,517.4815488,1246.673237,402.3097925
6,Delmarva Power,Dover AFB,19803,R-TOU-SOP,2591.610693,1104.987229,1031.923507,1486.623464,73.06372172
7,Consolidated Edison Co-NY Inc,White Plains-Westchester County AP,10610,EL1,3684.409508,1602.614323,1576.742602,2081.795186,25.87172056
8,Eversource Energy (Formerly Connecticut Light & Power Co),Hartford-Bradley Intl AP,6199,7,2606.683205,1181.72811,1056.551308,1424.955095,125.1768021
9,National Grid - New York,New York-J F Kennedy Intl AP,14592,SC1,1918.644565,1184.353805,1184.353805,734.29076,-2.52e-14
10,Sacramento Municipal Util Dist,Sacramento Metro AP,95899,R,2439.809278,760.2782383,656.7044836,1679.531039,103.5737547
11,Baltimore Gas & Electric Co,Baltimore-Washington Intl AP,21283,EV,2316.007017,1327.935112,950.138558,988.0719056,377.7965538
12,PPL Electric Utilities Corp,Harrisburg Intl AP,17177,RS,1766.293792,855.9209963,855.9209963,910.3727954,-4.29e-15
13,San Diego Gas & Electric Co,San Diego-Montgomery Field,92194,DM,6215.825529,740.6608081,740.6515037,5475.164721,0.009304435
14,Rocky Mountain Power,Salt Lake City Intl AP,84144,2,1834.994991,560.3128879,501.6594475,1274.682103,58.6534405
15,New York State Elec & Gas Corp,Binghamton-Edwin A Link Field,13905,SC1,1518.794503,656.7400996,656.4019978,862.054403,0.338101768
16,Green Mountain Power Corp,Rutland State AP,5702,13,10165.97849,3457.341059,3455.159196,6708.637433,2.181862316
17,Hawaiian Electric Co Inc,Honolulu Intl AP 911820,96850,TOU-R-SE,10661.5365,6468.14392,5935.779366,4193.392584,532.3645541
18,Tucson Electric Power Co,Tucson Intl AP,85641,R-70N-C,2148.783118,949.1038534,657.7895855,1199.679265,291.3142679
19,Southern California Edison Co,Los Angeles Intl AP,90101,TOU-D-TEV,3435.241302,-187.18947,-268.3091024,3622.430772,81.11963239
20,Commonwealth Edison Co,Chicago-OHare Intl AP,60151,BES,1332.496075,589.610387,589.610387,742.8856876,6.73e-16
21,Unitil Energy Systems,Concord Muni AP,3305,D,2188.650932,999.7508788,999.7508788,1188.900053,-7.19e-15
