,Utility,City,Zip,Tariff, Bill Before Solar , Bill Solar Only , Bill PV+ESS , Solar Savings , ESS Savings , pv + ess savings , Rate , is max ? 
1,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-BASIC L," 1,872 ", 296 , 296 ," 1,576 ", (0)," 1,576 ",,
2,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ET-EV," 1,418 ", (70), (442)," 1,488 ", 372 ," 1,860 ", 1 ,yes
3,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-2," 1,205 ", (49), (49)," 1,254 ", (0)," 1,254 ",,
4,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-3, 810 , (305), (305)," 1,115 ", (0)," 1,115 ",,
5,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-XS," 1,641 ", 267 , 267 ," 1,374 ", (0)," 1,374 ",,
6,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ET-2," 1,594 ", (52), (481)," 1,646 ", 429 ," 2,075 ",,
7,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,TOU-E," 1,828 ", 395 , 178 ," 1,432 ", 218 ," 1,650 ",,
8,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ET-1," 1,607 ", (55), (126)," 1,662 ", 71 ," 1,733 ",,
9,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-BASIC," 1,737 ", 282 , 282 ," 1,454 ", (0)," 1,454 ",,
10,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ECT-1R, 699 , 52 , 39 , 647 , 14 , 660 ,,
11,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,R-TECH, 838 , (286), (286)," 1,125 ", (0)," 1,125 ",,
12,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ET-SP," 1,450 ", (46), (525)," 1,496 ", 479 ," 1,975 ",,
13,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,ECT-2, 961 , 93 , 11 , 867 , 83 , 950 ,,
14,Arizona Public Service Co,Flagstaff-Pulliam AP,86011,E-12," 2,095 ", 271 , 270 ," 1,824 ", 1 ," 1,825 ",,
15,Baltimore Gas & Electric Co,Baltimore-Washington Intl AP,21283,R," 2,387 "," 1,340 "," 1,340 "," 1,047 ", (0)," 1,047 ",,
16,Baltimore Gas & Electric Co,Baltimore-Washington Intl AP,21283,EV," 2,316 "," 1,328 ", 950 , 988 , 378 ," 1,366 ", 1 ,yes
17,Baltimore Gas & Electric Co,Baltimore-Washington Intl AP,21283,RL," 2,407 "," 1,322 "," 1,311 "," 1,086 ", 11 ," 1,097 ",,
18,Commonwealth Edison Co,Chicago-OHare Intl AP,60151,BES," 1,332 ", 590 , 590 , 743 , 0 , 743 ,,
19,Commonwealth Edison Co,Chicago-OHare Intl AP,60151,BESH, 846 , 361 , 335 , 485 , 25 , 511 ,,
