month,week/weekend,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
2,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
3,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
4,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
5,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
6,week,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.38933,0.38933,0.38933,0.38933,0.38933,0.07433,0.07433,0.07433
7,week,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.38933,0.38933,0.38933,0.38933,0.38933,0.07433,0.07433,0.07433
8,week,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.38933,0.38933,0.38933,0.38933,0.38933,0.07433,0.07433,0.07433
9,week,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.07433,0.38933,0.38933,0.38933,0.38933,0.38933,0.07433,0.07433,0.07433
10,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
11,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
12,week,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
1,weekend,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
2,weekend,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
3,weekend,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.0778,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.05509,0.17568,0.17568,0.17568,0.17568,0.17568,0.0778,0.0778,0.0778
