Import Rates,Export Rates
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.17503,0.17503
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
0.14177,0.14177
