Import Rates,Export Rates
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.27004513,0.26964128
0.27004513,0.26964128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.27004513,0.26964128
0.27004513,0.26964128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.27004513,0.26964128
0.27004513,0.26964128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.12766513,0.12726128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.27004513,0.26964128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.35604513,0.35564128
0.27004513,0.26964128
0.27004513,0.26964128
0.12766513,0.12726128
