Import Rates,Export Rates
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.34597735,0.34388355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.28300735,0.28091355
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
0.10328316,0.10331168
