Import Rates,Export Rates
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.34609911,0.34510113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.10328151,0.1032951
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
0.28312911,0.28213113
