,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
0, 01/01  01:00:00,1.04410728124,0.0812315464805,0.0,1.04410728124,0.0812315464805,0.0778,0.0478,0.0,0.0,1.04410728124,0.0812315464805,0.0,1141.72253889
1, 01/01  02:00:00,0.892371068745,0.0694264691484,0.0,0.892371068745,0.0694264691484,0.0778,0.0478,0.0,0.0,0.892371068745,0.0694264691484,0.0,1141.72253889
2, 01/01  03:00:00,0.849928045279,0.0661244019227,0.0,0.849928045279,0.0661244019227,0.0778,0.0478,0.0,0.0,0.849928045279,0.0661244019227,0.0,1141.72253889
3, 01/01  04:00:00,0.863832151503,0.0672061413869,0.0,0.863832151503,0.0672061413869,0.0778,0.0478,0.0,0.0,0.863832151503,0.0672061413869,2.77555756156e-17,1141.72253889
4, 01/01  05:00:00,0.87391153126,0.067990317132,0.0,0.87391153126,0.067990317132,0.0778,0.0478,0.0,0.0,0.87391153126,0.067990317132,0.0,1141.72253889
5, 01/01  06:00:00,0.944579937946,0.0734883191722,0.0,0.944579937946,0.0734883191722,0.0778,0.0478,0.0,0.0,0.944579937946,0.0734883191722,0.0,1141.72253889
6, 01/01  07:00:00,1.2399864515,0.0964709459267,0.0,1.2399864515,0.0964709459267,0.0778,0.0478,0.0,0.0,1.2399864515,0.0964709459267,0.0,1141.72253889
7, 01/01  08:00:00,1.67074929298,0.129984294994,0.028159,1.64259029298,0.127793524794,0.0778,0.0478,0.0,0.0,1.64259029298,0.127793524794,0.0021907702,1141.72253889
8, 01/01  09:00:00,1.51942146726,0.0837049286314,0.902662,0.61675946726,0.0339772790514,0.05509,0.02509,0.0,0.0,0.61675946726,0.0339772790514,0.04972764958,1141.72253889
9, 01/01  10:00:00,1.24118417379,0.0683768361341,1.963136,-0.72195182621,-0.0181137713196,0.05509,0.02509,-0.72195182621,0.0728226714729,0.0,0.0,0.0683768361341,1141.72253889
10, 01/01  11:00:00,1.20003005745,0.0661096558649,2.763689,-1.56365894255,-0.0392322028686,0.05509,0.02509,-1.56365894255,0.230547629476,0.0,0.0,0.0661096558649,1141.72253889
11, 01/01  12:00:00,1.16536355734,0.0641998783739,3.127701,-1.96233744266,-0.0492350464363,0.05509,0.02509,-1.96233744266,0.42848695135,0.0,0.0,0.0641998783739,1141.72253889
12, 01/01  13:00:00,1.10387813096,0.0608126462346,3.16845,-2.06457186904,-0.0518001081942,0.05509,0.02509,-2.06457186904,0.63673857354,0.0,0.0,0.0608126462346,1141.72253889
13, 01/01  14:00:00,1.07308121603,0.0591160441911,2.941943,-1.86886178397,-0.0468897421598,0.05509,0.02509,-1.86886178397,0.825249084603,0.0,0.0,0.0591160441911,1141.72253889
14, 01/01  15:00:00,1.07218042133,0.0590664194111,2.319317,-1.24713657867,-0.0312906567588,0.05509,0.02509,-1.24713657867,0.951046698867,0.0,0.0,0.0590664194111,1141.72253889
15, 01/01  16:00:00,1.15948438567,0.0638759948066,1.506606,-0.34712161433,-0.00870928130354,0.05509,0.02509,-0.34712161433,0.986060563177,0.0,0.0,0.0638759948066,1141.72253889
16, 01/01  17:00:00,1.48506240885,0.260895763987,0.295357,1.18970540885,0.209007446227,0.17568,0.14568,1.18970540885,0.866055982549,5.55111512313e-17,9.75219904831e-18,0.260895763987,1141.72253889
17, 01/01  18:00:00,2.09718413999,0.368433309713,0.0,2.09718413999,0.368433309713,0.17568,0.14568,2.09718413999,0.654514788109,0.0,0.0,0.368433309713,1141.72253889
18, 01/01  19:00:00,2.53758092092,0.445802216187,0.0,2.53758092092,0.445802216187,0.17568,0.14568,2.53758092092,0.398551142016,0.0,0.0,0.445802216187,1141.72253889
19, 01/01  20:00:00,2.53746161356,0.44578125627,0.0,2.53746161356,0.44578125627,0.17568,0.14568,2.53746161356,0.142599530356,0.0,0.0,0.44578125627,1141.72253889
20, 01/01  21:00:00,2.36263358707,0.415067468576,0.0,2.36263358707,0.415067468576,0.17568,0.14568,2.36263358707,-0.0957173258049,0.0,0.0,0.415067468576,1141.72253889
21, 01/01  22:00:00,2.18096843832,0.169679344501,0.0,2.18096843832,0.169679344501,0.0778,0.0478,0.0,-0.0957173258049,2.18096843832,0.169679344501,-2.77555756156e-17,1141.72253889
22, 01/01  23:00:00,1.80878339902,0.140723348444,0.0,1.80878339902,0.140723348444,0.0778,0.0478,0.0,-0.0957173258049,1.80878339902,0.140723348444,0.0,1141.72253889
23, 01/01  24:00:00,1.43668823595,0.111774344757,0.0,1.43668823595,0.111774344757,0.0778,0.0478,0.0,-0.0957173258049,1.43668823595,0.111774344757,1.38777878078e-17,1141.72253889
24, 01/02  01:00:00,1.05235066889,0.0818728820396,0.0,1.05235066889,0.0818728820396,0.0778,0.0478,0.0,-0.0957173258049,1.05235066889,0.0818728820396,0.0,1141.72253889
25, 01/02  02:00:00,0.925125171472,0.0719747383405,0.0,0.925125171472,0.0719747383405,0.0778,0.0478,0.0,-0.0957173258049,0.925125171472,0.0719747383405,0.0,1141.72253889
26, 01/02  03:00:00,0.876075131781,0.0681586452526,0.0,0.876075131781,0.0681586452526,0.0778,0.0478,0.0,-0.0957173258049,0.876075131781,0.0681586452526,0.0,1141.72253889
27, 01/02  04:00:00,0.875328533502,0.0681005599065,0.0,0.875328533502,0.0681005599065,0.0778,0.0478,0.0,-0.0957173258049,0.875328533502,0.0681005599065,0.0,1141.72253889
